,Player,GP,REC,YDS,YDS/G,AVG,LNG,TD,Team,REC/GP
26,Jaylen Waddle,14,72,1014,72.4,14.1,60,4,MIA,5.142857142857143
27,Terry McLaurin,17,79,1002,58.9,12.7,48,4,WAS,4.647058823529412
28,Travis Kelce,15,93,984,65.6,10.6,53,5,KC,6.2
29,Evan Engram,17,114,963,56.6,8.5,34,4,JAC,6.705882352941177
30,T.J. Hockenson,15,95,960,64.0,10.1,29,5,MIN,6.333333333333333
31,Rashee Rice,16,79,938,58.6,11.9,67,7,KC,4.9375
32,Jordan Addison,17,70,911,53.6,13.0,62,10,MIN,4.117647058823529
33,Drake London,16,69,905,56.6,13.1,45,2,ATL,4.3125
34,Tyler Lockett,17,79,894,52.6,11.3,37,5,SEA,4.647058823529412
35,Deebo Samuel,15,60,892,59.5,14.9,54,7,SF,4.0
36,Sam LaPorta,17,86,889,52.3,10.3,48,10,DET,5.0588235294117645
37,David Njoku,16,81,882,55.1,10.9,43,6,CLE,5.0625
38,Zay Flowers,16,77,858,53.6,11.1,75,5,BAL,4.8125
39,Trey McBride,17,81,825,48.5,10.2,38,3,ARI,4.764705882352941
40,Jakobi Meyers,16,71,807,50.4,11.4,33,8,LV,4.4375
41,Jayden Reed,16,64,793,49.6,12.4,59,8,GB,4.0
42,Christian Kirk,12,57,787,65.6,13.8,57,3,JAC,4.75
43,Courtland Sutton,16,59,772,48.3,13.1,46,10,DEN,3.6875
44,Josh Downs,17,68,771,45.4,11.3,59,2,IND,4.0
45,Darius Slayton,17,50,770,45.3,15.4,80,4,NYG,2.9411764705882355
46,Jake Ferguson,17,71,761,44.8,10.7,40,5,DAL,4.176470588235294
47,Jerry Jeudy,16,54,758,47.4,14.0,47,2,CLE,3.375
48,Gabe Davis,17,45,746,43.9,16.6,57,7,JAC,2.6470588235294117
49,Cooper Kupp,12,59,737,61.4,12.5,62,5,LAR,4.916666666666667
50,Cole Kmet,17,73,719,42.3,9.9,53,6,CHI,4.294117647058823
