,Player,GP,RUTD,RETD,PR,KR,INTR,FUMR,FG,XP,SFTY,2-PT,PTS,PTS/G,Team
41,Derrick Henry,17,12,0,—,—,—,—,—,—,—,—,72,—,BAL
42,Chad Ryland,17,—,—,—,—,—,—,16,24,—,—,72,—,NE
43,Deebo Samuel,15,5,7,—,0,—,—,—,—,—,—,72,—,SF
44,De'Von Achane,11,8,3,—,—,—,—,—,—,—,—,66,—,MIA
45,Jahmyr Gibbs,15,10,1,—,—,—,—,—,—,—,—,66,—,DET
46,Lucas Havrisik,9,—,—,—,—,—,—,15,19,—,—,64,—,CLE
47,Sam LaPorta,17,0,10,—,—,—,—,—,—,—,—,64,—,DET
48,Brett Maher,8,—,—,—,—,—,—,17,13,—,—,64,—,LAR
49,Jayden Reed,16,2,8,0,—,—,—,—,—,—,—,62,—,GB
50,Saquon Barkley,14,6,4,—,—,—,—,—,—,—,—,62,—,PHI
51,Jordan Addison,17,0,10,—,—,—,—,—,—,—,—,60,—,MIN
52,Jakobi Meyers,16,2,8,—,—,—,—,—,—,—,—,60,—,LV
53,Amon-Ra St. Brown,16,0,10,—,0,—,—,—,—,—,—,60,—,DET
54,Courtland Sutton,16,—,10,—,—,—,—,—,—,—,—,60,—,DEN
55,Jerome Ford,17,4,5,—,—,—,—,—,—,—,—,56,—,CLE
56,Breece Hall,17,5,4,—,—,—,—,—,—,—,—,56,—,NYJ
57,Brian Robinson Jr.,15,5,4,—,—,—,—,—,—,—,—,56,—,WAS
58,James Conner,13,7,2,—,—,—,—,—,—,—,—,54,—,ARI
59,Kareem Hunt,15,9,0,—,—,—,—,—,—,—,—,54,—,CLE
60,DJ Moore,17,1,8,—,—,—,—,—,—,—,—,54,—,CHI
61,Isiah Pacheco,14,7,2,—,—,—,—,—,—,—,—,54,—,KC
62,Kenneth Walker III,15,8,1,—,—,—,—,—,—,—,—,54,—,SEA
63,Rachaad White,17,6,3,—,—,—,—,—,—,—,—,54,—,TB
64,Nico Collins,15,0,8,—,—,—,—,—,—,—,—,50,—,HOU
65,Brandin Cooks,16,0,8,—,—,—,—,—,—,—,—,50,—,DAL
66,Stefon Diggs,17,0,8,—,—,—,—,—,—,—,—,50,—,HOU
67,Calvin Ridley,17,0,8,—,—,—,—,—,—,—,—,50,—,TEN
68,Davante Adams,17,—,8,—,—,—,—,—,—,—,—,48,—,LV
69,Romeo Doubs,17,—,8,—,—,—,—,—,—,—,—,48,—,GB
70,Najee Harris,17,8,0,—,—,—,—,—,—,—,—,48,—,PIT
71,DK Metcalf,16,—,8,—,—,—,—,—,—,—,—,48,—,SEA
72,Bijan Robinson,17,4,4,0,—,—,—,—,—,—,—,48,—,ATL
73,Jonathan Taylor,10,7,1,—,—,—,—,—,—,—,—,48,—,IND
74,Gabe Davis,17,0,7,—,—,—,—,—,—,—,—,44,—,JAC
75,Zack Moss,14,5,2,—,—,—,—,—,—,—,—,44,—,CIN
76,Brandon Aiyuk,16,—,7,—,—,—,—,—,—,—,—,42,—,SF
77,Keenan Allen,13,0,7,—,—,—,—,—,—,—,—,42,—,CHI
78,A.J. Brown,17,—,7,—,—,—,—,—,—,—,—,42,—,PHI
79,Ja'Marr Chase,16,0,7,—,—,—,—,—,—,—,—,42,—,CIN
80,Tank Dell,11,0,7,0,0,—,—,—,—,—,—,42,—,HOU
81,DeAndre Hopkins,17,0,7,—,—,—,—,—,—,—,—,42,—,TEN
82,Alvin Kamara,13,5,1,—,—,—,—,—,—,—,—,42,—,NO
83,Rashee Rice,16,0,7,—,—,—,—,—,—,—,—,42,—,KC
84,DeVonta Smith,16,—,7,—,—,—,—,—,—,—,—,42,—,PHI
85,Graham Gano,8,—,—,—,—,—,—,11,8,—,—,41,—,NYG
86,Joshua Dobbs,13,6,—,—,—,—,—,—,—,—,—,40,—,SF
87,Zay Flowers,16,1,5,—,—,—,—,—,—,—,—,38,—,BAL
88,Tony Pollard,17,6,0,—,—,—,—,—,—,—,—,38,—,TEN
89,Mark Andrews,10,0,6,—,—,—,—,—,—,—,—,36,—,BAL
90,James Cook,17,2,4,—,—,—,—,—,—,—,—,36,—,BUF
91,Hunter Henry,14,—,6,—,—,—,—,—,—,—,—,36,—,NE
92,Taysom Hill,16,4,2,—,0,—,—,—,—,—,—,36,—,NO
93,Josh Jacobs,13,6,0,—,—,—,—,—,—,—,—,36,—,GB
94,George Kittle,16,0,6,—,—,—,—,—,—,—,—,36,—,SF
95,Cole Kmet,17,0,6,—,0,—,—,—,—,—,—,36,—,CHI
96,Puka Nacua,17,0,6,—,—,—,—,—,—,—,—,36,—,LAR
97,David Njoku,16,—,6,—,—,—,—,—,—,—,—,36,—,CLE
98,Rashid Shaheed,15,0,5,1,0,—,—,—,—,—,—,36,—,NO
99,D'Andre Swift,16,5,1,—,—,—,—,—,—,—,—,36,—,CHI
100,Austin Ekeler,14,5,1,—,—,—,—,—,—,—,—,36,—,WAS
101,Tyler Lockett,17,—,5,—,—,—,—,—,—,—,—,34,—,SEA
102,Javonte Williams,16,3,2,—,—,—,—,—,—,—,—,34,—,DEN
103,Tyler Allgeier,17,4,1,—,—,—,—,—,—,—,—,32,—,ATL
104,Amari Cooper,15,—,5,—,—,—,—,—,—,—,—,32,—,CLE
105,Sam Howell,17,5,0,—,—,—,—,—,—,—,—,32,—,SEA
106,Cooper Kupp,12,0,5,—,—,—,—,—,—,—,—,32,—,LAR
107,Chris Olave,16,—,5,—,—,—,—,—,—,—,—,32,—,NO
108,DaRon Bland,17,—,—,—,—,5,0,—,—,0,—,30,—,DAL
109,DJ Chark,15,—,5,—,—,—,—,—,—,—,—,30,—,LAC
110,Ezekiel Elliott,17,3,2,—,—,—,—,—,—,—,—,30,—,DAL
111,Jake Ferguson,17,—,5,—,—,—,—,—,—,—,—,30,—,DAL
112,D'Onta Foreman,9,4,1,—,—,—,—,—,—,—,—,30,—,CLE
113,Tee Higgins,12,—,5,—,—,—,—,—,—,—,—,30,—,CIN
114,T.J. Hockenson,15,—,5,—,—,—,—,—,—,—,—,30,—,MIN
115,Chuba Hubbard,17,5,0,—,—,—,—,—,—,—,—,30,—,CAR
116,Lamar Jackson,16,5,—,—,—,—,—,—,—,—,—,30,—,BAL
117,Justin Jefferson,10,0,5,—,—,—,—,—,—,—,—,30,—,MIN
118,Diontae Johnson,13,—,5,—,—,—,—,—,—,—,—,30,—,CAR
119,Travis Kelce,15,—,5,—,—,—,—,—,—,—,—,30,—,KC
120,Isaiah Likely,17,—,5,—,—,—,—,—,—,—,—,30,—,BAL
121,Jerick McKinnon,12,1,4,—,0,—,—,—,—,—,—,30,—,KC
122,Terry McLaurin,17,—,4,—,—,0,1,—,—,0,—,30,—,WAS
123,George Pickens,17,0,5,—,0,—,—,—,—,—,—,30,—,PIT
124,Josh Reynolds,17,—,5,—,—,—,—,—,—,—,—,30,—,DEN
125,Desmond Ridder,15,5,0,—,—,—,—,—,—,—,—,30,—,ARI
126,Curtis Samuel,16,1,4,—,—,—,—,—,—,—,—,30,—,BUF
127,Dalton Schultz,15,—,5,—,—,—,—,—,—,—,—,30,—,HOU
128,Christian Watson,9,0,5,—,—,—,—,—,—,—,—,30,—,GB
129,Matt Ammendola,5,—,—,—,—,—,—,6,10,—,—,28,—,HOU
130,Michael Pittman,16,—,4,—,0,—,—,—,—,—,—,28,—,IND
131,Brandon Johnson,13,—,4,—,—,—,—,—,—,—,—,26,—,DEN
132,Cade Otton,17,—,4,—,—,—,—,—,—,—,—,26,—,TB
133,Adam Thielen,17,0,4,—,—,—,—,—,—,—,—,26,—,CAR
134,Logan Thomas,16,0,4,—,—,—,—,—,—,—,—,26,—,SF
135,Mike Badgley,4,—,—,—,—,—,—,4,13,—,—,25,—,DET
136,Randy Bullock,6,—,—,—,—,—,—,5,10,—,—,25,—,NYG
137,Marquise Brown,14,0,4,—,—,—,—,—,—,—,—,24,—,KC
138,Jahan Dotson,17,—,4,—,—,—,—,—,—,—,—,24,—,WAS
139,Rico Dowdle,16,2,2,—,0,—,—,—,—,—,—,24,—,DAL
140,Evan Engram,17,—,4,—,—,—,—,—,—,—,—,24,—,JAC
141,Jimmy Graham,13,—,4,—,—,—,—,—,—,—,—,24,—,NO
142,Andrei Iosivas,16,—,4,0,—,—,—,—,—,—,—,24,—,CIN
143,Juwan Johnson,13,—,4,—,—,—,—,—,—,—,—,24,—,NO
144,A.T. Perry,10,—,4,—,—,—,—,—,—,—,—,24,—,NO
145,Devin Singletary,17,4,0,—,0,—,—,—,—,—,—,24,—,NYG
146,Jaxon Smith-Njigba,17,—,4,—,—,—,—,—,—,—,—,24,—,SEA
147,Rhamondre Stevenson,12,4,0,—,—,—,—,—,—,—,—,24,—,NE
148,KaVontae Turpin,16,1,3,0,0,—,—,—,—,—,—,24,—,DAL
149,Jaylen Waddle,14,0,4,—,—,—,—,—,—,—,—,24,—,MIA
