,Player,GP,REC,YDS,YDS/G,AVG,LNG,TD,Team,REC/GP
41,Darren Waller,12,52,552,46.0,10.6,29,1,NYG,4.333333333333333
42,Drake London,16,69,905,56.6,13.1,45,2,ATL,4.3125
43,Cole Kmet,17,73,719,42.3,9.9,53,6,CHI,4.294117647058823
44,Tank Dell,11,47,709,64.5,15.1,68,7,HOU,4.2727272727272725
45,Dallas Goedert,14,59,592,42.3,10.0,49,3,PHI,4.214285714285714
46,Christian McCaffrey,16,67,564,35.3,8.4,41,7,SF,4.1875
47,Jake Ferguson,17,71,761,44.8,10.7,40,5,DAL,4.176470588235294
48,DK Metcalf,16,66,1114,69.6,16.9,73,8,SEA,4.125
49,Jordan Addison,17,70,911,53.6,13.0,62,10,MIN,4.117647058823529
50,George Kittle,16,65,1020,63.8,15.7,66,6,SF,4.0625
51,Deebo Samuel,15,60,892,59.5,14.9,54,7,SF,4.0
52,Josh Downs,17,68,771,45.4,11.3,59,2,IND,4.0
53,Wan'Dale Robinson,15,60,525,35.0,8.8,33,1,NYG,4.0
54,Jayden Reed,16,64,793,49.6,12.4,59,8,GB,4.0
55,Tyler Boyd,17,67,667,39.2,10.0,64,2,TEN,3.9411764705882355
56,Dalton Schultz,15,59,635,42.3,10.8,31,5,HOU,3.933333333333333
57,Diontae Johnson,13,51,717,55.2,14.1,71,5,CAR,3.923076923076923
58,Michael Thomas,10,39,448,44.8,11.5,31,1,NO,3.9
59,Curtis Samuel,16,62,613,38.3,9.9,37,4,BUF,3.875
60,Josh Palmer,10,38,581,58.1,15.3,79,2,LAC,3.8
61,Rachaad White,17,64,549,32.3,8.6,43,3,TB,3.764705882352941
62,George Pickens,17,63,1140,67.1,18.1,86,5,PIT,3.7058823529411766
63,Jaxon Smith-Njigba,17,63,628,36.9,10.0,35,4,SEA,3.7058823529411766
64,Courtland Sutton,16,59,772,48.3,13.1,46,10,DEN,3.6875
65,Marquise Brown,14,51,574,41.0,11.3,41,4,KC,3.642857142857143
66,Austin Ekeler,14,51,436,31.1,8.6,39,1,WAS,3.642857142857143
67,Tyler Conklin,17,61,621,36.5,10.2,37,0,NYJ,3.588235294117647
68,Tee Higgins,12,42,656,54.7,15.6,80,5,CIN,3.5
69,Demario Douglas,14,49,561,40.1,11.5,42,0,NE,3.5
70,Romeo Doubs,17,59,674,39.6,11.4,36,8,GB,3.4705882352941178
71,Elijah Moore,17,59,640,37.6,10.9,42,2,CLE,3.4705882352941178
72,Logan Thomas,16,55,496,31.0,9.0,29,4,SF,3.4375
73,Bijan Robinson,17,58,487,28.6,8.4,71,4,ATL,3.411764705882353
74,Travis Etienne,17,58,476,28.0,8.2,56,1,JAC,3.411764705882353
75,Jerry Jeudy,16,54,758,47.4,14.0,47,2,CLE,3.375
76,Brandin Cooks,16,54,657,41.1,12.2,37,8,DAL,3.375
77,Noah Brown,10,33,567,56.7,17.2,75,2,HOU,3.3
78,Chigoziem Okonkwo,17,54,528,31.1,9.8,39,1,TEN,3.176470588235294
79,Tyler Higbee,15,47,495,33.0,10.5,33,2,LAR,3.1333333333333333
80,Kyle Pitts,17,53,667,39.2,12.6,39,3,ATL,3.1176470588235294
81,Rashid Shaheed,15,46,719,47.9,15.6,58,5,NO,3.066666666666667
82,K.J. Osborn,16,48,540,33.8,11.3,47,3,NE,3.0
83,Samaje Perine,17,50,455,26.8,9.1,29,0,DEN,2.9411764705882355
84,Darius Slayton,17,50,770,45.3,15.4,80,4,NYG,2.9411764705882355
85,Jonnu Smith,17,50,582,34.2,11.6,60,3,MIA,2.9411764705882355
86,Michael Wilson,13,38,565,43.5,14.9,69,3,ARI,2.923076923076923
87,Jahan Dotson,17,49,518,30.5,10.6,33,4,WAS,2.8823529411764706
88,Cade Otton,17,47,455,26.8,9.7,27,4,TB,2.764705882352941
89,Gabe Davis,17,45,746,43.9,16.6,57,7,JAC,2.6470588235294117
90,Dontayvion Wicks,15,39,581,38.7,14.9,35,4,GB,2.6
91,James Cook,17,44,445,26.2,10.1,48,4,BUF,2.588235294117647
92,Odell Beckham Jr.,14,35,565,40.4,16.1,51,3,MIA,2.5
93,Tutu Atwell,16,39,483,30.2,12.4,44,3,LAR,2.4375
94,Josh Reynolds,17,40,608,35.8,15.2,33,5,DEN,2.3529411764705883
95,DJ Chark,15,35,525,35.0,15.0,47,5,LAC,2.3333333333333335
96,Khalil Shakir,17,39,611,35.9,15.7,81,2,BUF,2.2941176470588234
97,Kalif Raymond,17,35,489,28.8,14.0,41,1,DET,2.0588235294117645
98,Alec Pierce,17,32,514,30.2,16.1,58,2,IND,1.8823529411764706
99,Justin Watson,16,27,460,28.8,17.0,41,3,KC,1.6875
