Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,player_id
Marquise Brown,15,WR,5-10,168,23,Canyons JC; Oklahoma,16,14,3,362
Orlando Brown,78,LOT-ROT,6-8,345,24,Oklahoma,16,16,3,363
Dez Bryant,88,WR,6-2,219,32,Oklahoma State,6,0,3,364
Calais Campbell,93,DT,6-8,295,34,Miami (Florida),12,12,3,365
Chuck Clark,36,SS,6-0,208,25,Virginia Tech,16,16,3,366
Trystan Colon-Castillo,63,C,6-4,315,22,Missouri,2,2,3,367
Morgan Cox,46,LONG,6-4,233,34,Tennessee,15,0,3,368
Aaron Crawford,69,DT,6-2,290,23,North Carolina,1,0,3,369
Sean Culkin,84,TE,6-5,255,27,Missouri,1,0,3,370
Pierre Desir,47,CB,6-1,200,30,Washburn; Lindenwood,3,0,3,371
J.K. Dobbins,27,RB,5-10,217,22,Ohio State,15,1,3,372
Khalil Dorsey,31,LCB,5-9,170,22,Northern Arizona,6,0,3,373
Devin Duvernay,13,WR,5-11,210,23,Texas,16,3,3,374
Gus Edwards,35,RB,6-1,238,25,Miami (Florida); Rutgers,16,6,3,375
DeShon Elliott,32,FS,6-2,210,23,Texas,16,16,3,376
Justin Ellis,71,NT,6-2,335,30,Louisiana Tech,13,3,3,377
Jaylon Ferguson,45,RUSH,6-5,262,25,Louisiana Tech,14,1,3,378
D.J. Fluker,70,ROT-LOT-ROG,6-5,345,29,Alabama,16,10,3,379
L.J. Fort,58,WLB,6-0,232,30,Northern Iowa,14,8,3,380
Marcus Gilchrist,29,CB,5-10,199,32,Clemson,2,0,3,381
Robert Griffin,3,QB,6-2,218,30,Baylor,4,1,3,382
Davontae Harris,33,LCB,5-11,200,25,Illinois State,4,1,3,383
Malik Harrison,40,WLB,6-3,240,22,Ohio State,16,6,3,384
Justice Hill,43,RB,5-10,190,23,Oklahoma State,12,0,3,385
Will Holden,66,OG,6-7,312,27,Vanderbilt,1,0,3,386
Marlon Humphrey,44,LCB-RCB,6-0,197,24,Alabama,15,15,3,387
Tyler Huntley,2,QB,61,205,22,Utah,2,0,3,388
Mark Ingram,21,RB,5-9,215,31,Alabama,11,9,3,389
Lamar Jackson,8,QB,6-2,212,23,Louisville,15,15,3,390
Matt Judon,99,SLB,6-3,266,28,Grand Valley State,14,13,3,391
Sam Koch,4,P,6-1,222,38,Nebraska,15,0,3,392
Anthony Levine,41,SS,5-11,203,33,Tennessee State,15,1,3,393
Justin Madubuike,92,DT,6-3,300,23,Texas A&M,10,3,3,394
Pernell McPhee,90,RUSH,6-3,275,32,Itawamba CC; Mississippi State,15,13,3,395
Trace McSorley,7,QB,6-0,201,25,Penn State,2,0,3,396
Patrick Mekari,65,ROG-C,6-4,308,23,California,14,8,3,397
Chris Moore,10,WR,6-1,201,27,Cincinnati,3,0,3,398
Nick Moore,60,LONG,6-3,250,28,Georgia,1,0,3,399
Yannick Ngakoue,91,RUSH,6-2,246,25,Maryland,9,3,3,400
Marcus Peters,24,RCB-LCB,6-0,197,27,Washington,14,14,3,401
Tyre Phillips,74,ROG-ROT,6-5,345,23,East Mississippi CC; Mississippi State,12,8,3,402
Ben Powers,72,ROG-LOG,6-4,313,24,Butler CC; Oklahoma,16,7,3,403
James Proche,11,WR,6-0,193,24,Southern Methodist,14,0,3,404
Patrick Queen,48,MLB,6-1,227,21,Louisiana State,16,16,3,405
Patrick Ricard,42,FB,6-3,307,26,Maine,15,10,3,406
Jordan Richards,28,FS-SS,5-11,210,27,Stanford,16,0,3,407
Chauncey Rivers,97,LB,6-3,275,23,Georgia; East Mississippi CC; Mississippi State,1,0,3,408
Matt Skura,68,C-LOG-TE,6-3,313,27,Duke,15,12,3,409
Jimmy Smith,22,RCB-LCB,6-2,209,32,Colorado,12,5,3,410
Willie Snead,83,WR,5-11,197,28,Ball State,13,8,3,411
Ronnie Stanley,79,LOT,6-6,318,26,Notre Dame,6,6,3,412
Geno Stone,26,FS,5-10,210,21,Iowa,2,0,3,413
Eric Tomlinson,85,TE,6-6,263,28,Texas-El Paso,6,2,3,414
Johnny Townsend,6,P,6-1,210,25,Florida,1,0,3,415
Justin Tucker,9,K,6-1,183,31,Texas,16,0,3,416
Jihad Ward,53,DE,6-5,294,26,Globe Tech JC; Illinois,0,0,3,417
Broderick Washington,96,DT,6-3,305,24,Texas Tech,8,0,3,418
Kristian Welch,57,MLB,6-3,220,22,Iowa,10,0,3,419
Brandon Williams,98,NT,6-1,338,31,Missouri Southern State,13,13,3,420
Tramon Williams,29,RCB-LCB,5-11,189,37,Louisiana Tech,6,0,3,421
Luke Willson,82,TE,6-5,252,30,Rice,3,0,3,422
Derek Wolfe,95,DE,6-5,285,30,Cincinnati,14,8,3,423
Tavon Young,25,LCB,5-9,181,26,Temple,2,0,3,424
Odell Beckham,13,WR,5-11,198,28,Louisiana State,7,7,8,425
Elijah Benton,48,S,6-1,205,24,Liberty,1,0,8,426
Joel Bitonio,75,LOG,6-4,305,29,Nevada-Reno,16,16,8,427
Ja'Marcus Bradley,84,WR,6-1,195,24,Louisiana-Lafayette,3,1,8,428
Evan Brown,63,LOG-ROG,6-2,305,24,Southern Methodist,5,0,8,429
Harrison Bryant,88,TE,6-5,240,22,Florida Atlantic,15,9,8,430
Stephen Carlson,89,TE,6-4,240,24,Princeton,16,2,8,431
Nick Chubb,24,RB,5-11,227,25,Georgia,12,12,8,432
Adrian Clayborn,94,RDE-LDE,6-3,280,32,Iowa,16,2,8,433
Jack Conklin,78,ROT,6-6,308,26,Michigan State,15,15,8,434
Tae Davis,55,MLB,6-0,222,24,Tennessee-Chattanooga,13,0,8,435
Michael Dunn,68,LOG-ROG,6-5,295,26,Maryland,6,0,8,436
Jordan Elliott,90,LDT,6-4,315,23,Texas; Missouri,16,1,8,437
Myles Garrett,95,LDE,6-4,272,25,Texas A&M,14,14,8,438
Jamie Gillan,7,P-K,6-1,207,23,Arkansas-Pine Bluff,16,0,8,439
B.J. Goodson,93,MLB,6-1,242,27,Clemson,14,14,8,440
A.J. Green,38,CB,6-1,190,22,Oklahoma State,2,0,8,441
Porter Gustin,97,RDE-LDE,6-5,267,23,Southern California,14,3,8,442
Marvin Hall,18,WR,5-10,190,27,Washington,1,1,8,443
Nick Harris,53,ROG-C,6-1,302,22,Washington,12,1,8,444
Ronnie Harrison,33,SS-FS,6-3,214,23,Alabama,11,7,8,445
Rashard Higgins,82,WR,6-1,198,26,Colorado State,13,6,8,446
Dontrell Hilliard,25,RB,5-11,202,25,Tulane,5,0,8,447
KhaDarel Hodge,12,WR,6-2,205,25,Hinds CC; Prairie View A&M,9,0,8,448
Austin Hooper,81,TE,6-3,251,26,Stanford,13,13,8,449
Chris Hubbard,74,ROG-ROT,6-4,293,29,Alabama-Birmingham,11,5,8,450
Charley Hughlett,47,LONG,6-4,248,30,Central Florida,16,0,8,451
Kareem Hunt,27,RB,5-11,208,25,Toledo,16,5,8,452
Joe Jackson,91,LDE,6-5,265,24,Miami (Florida),3,0,8,453
Robert Jackson,34,RCB,6-2,207,27,Sequoias JC; Nevada-Las Vegas,10,1,8,454
Andy Janovich,31,FB,6-1,238,27,Nebraska,14,3,8,455
D'Ernest Johnson,30,RB,5-10,207,24,South Florida,16,0,8,456
Kevin Johnson,28,LCB-RCB,6-0,188,28,Wake Forest,13,6,8,457
Karl Joseph,42,SS,5-10,205,27,West Virginia,14,7,8,458
Case Keenum,5,QB,6-1,205,32,Houston,2,0,8,459
Kendall Lamm,70,LOT-ROT,6-6,305,28,Appalachian State,15,1,8,460
Jarvis Landry,80,WR,5-11,202,28,Louisiana State,15,14,8,461
Elijah Lee,52,WLB,6-2,229,24,Kansas State,8,0,8,462
Cameron Malveaux,69,DE,6-5,268,26,Houston,2,0,8,463
Baker Mayfield,6,QB,6-1,215,25,Texas Tech; Oklahoma,16,16,8,464
Montrel Meander,41,WLB-MLB,6-2,215,26,Texas; Grambling State,4,0,8,465
Terrance Mitchell,39,RCB-LCB,5-11,190,28,Oregon,16,16,8,466
Jovante Moffatt,35,FS,6-0,210,24,Middle Tennessee State,9,0,8,467
JoJo Natson,19,WR,5-7,153,26,Utah State; Akron,3,0,8,468
David Njoku,85,TE,6-4,246,24,Miami (Florida),13,5,8,469
Larry Ogunjobi,65,RDT,6-2,305,26,North Carolina-Charlotte,15,15,8,470
Cody Parkey,2,K,6-0,191,28,Auburn,15,0,8,471
Javon Patterson,63,C,6-3,310,23,Mississippi,1,0,8,472
Donovan Peoples-Jones,11,WR,6-2,208,21,Michigan,12,2,8,473
Jacob Phillips,50,WLB-SLB,6-4,233,21,Louisiana State,9,3,8,474
Sheldrick Redwine,29,SS-FS,6-1,205,24,Miami (Florida),15,3,8,475
Sheldon Richardson,98,LDT,6-3,295,30,Sequoias JC; Missouri,16,16,8,476
Austin Seibert,4,K,5-9,214,24,Oklahoma,1,0,8,477
Andrew Sendejo,23,FS,6-1,216,33,Rice,14,14,8,478
Malcolm Smith,56,WLB-SLB,6-0,225,31,Southern California,15,4,8,479
Johnny Stanton,43,FB,6-2,250,26,Nebraska; Saddleback JC; Nevada-Las Vegas,1,0,8,480
M.J. Stewart,36,LCB,5-11,200,25,North Carolina,16,0,8,481
Sione Takitaki,44,SLB,6-2,230,25,Brigham Young,15,12,8,482
Alex Taylor,60,OT,6-9,308,23,Appalachian State; South Carolina State,1,0,8,483
Taywan Taylor,10,WR,5-11,203,25,Western Kentucky,3,0,8,484
Vincent Taylor,96,RDT,6-3,306,26,Oklahoma State,15,1,8,485
Wyatt Teller,77,ROG,6-4,314,26,Virginia Tech,11,11,8,486
Tavierre Thomas,20,RCB,5-10,205,24,Ferris State,16,3,8,487
J.C. Tretter,64,C,6-4,307,29,Cornell,16,16,8,488
Olivier Vernon,54,RDE-LDE,6-2,270,30,Miami (Florida),14,13,8,489
Denzel Ward,21,LCB,5-11,190,23,Ohio State,12,12,8,490
Derrick Willies,16,WR,6-4,207,26,Iowa; Trinity Valley CC; Texas Tech,1,0,8,491
Jedrick Wills,71,LOT,6-5,320,21,Alabama,15,15,8,492
Mack Wilson,51,WLB-MLB,6-2,239,22,Alabama,13,8,8,493
Hakeem Adeniji,77,LOT-ROT-LOG-TE,6-5,300,23,Kansas,15,5,7,494
Freedom Akinmoladun,92,DE,6-3,186,24,Nebraska,2,0,7,495
Mackensie Alexander,21,NB,5-10,192,27,Clemson,13,10,7,496
Brandon Allen,8,QB,6-2,209,28,Arkansas,5,5,7,497
Geno Atkins,97,DT,6-1,299,32,Georgia,8,0,7,498
Markus Bailey,51,SLB,6-1,240,23,Purdue,11,0,7,499
Jessie Bates,30,FS,6-1,200,23,Wake Forest,16,16,7,500
Vonn Bell,24,SS,5-11,205,26,Ohio State,16,16,7,501
Giovani Bernard,25,HB,5-9,206,29,North Carolina,16,10,7,502
Amani Bledsoe,91,LDE,6-4,280,22,Oklahoma,14,4,7,503
Tyler Boyd,83,WR,6-1,197,26,Pittsburgh,15,8,7,504
Andrew Brown,93,NT,6-3,296,25,Virginia,4,0,7,505
Tony Brown,27,LCB-RCB,6-0,199,25,Alabama,13,1,7,506
Randy Bullock,4,K,5-9,207,31,Texas A&M,12,0,7,507
Joe Burrow,9,QB,6-4,216,24,Ohio State; Louisiana State,10,10,7,508
Josh Bynes,56,SLB,6-1,236,31,Auburn,16,15,7,509
Shaq Calhoun,63,LOG,6-3,310,24,Mississippi State,1,1,7,510
Cethan Carter,82,TE,6-3,241,27,Nebraska,16,5,7,511
Christian Covington,99,DT-NT,6-2,305,27,Rice,16,14,7,512
Mike Daniels,76,NT-DT,6-0,307,31,Iowa,11,11,7,513
Jalen Davis,37,RCB,5-10,185,24,Utah State,6,0,7,514
Akeem Davis-Gaither,59,MLB-WLB,6-2,215,23,Appalachian State,16,2,7,515
Carlos Dunlap,96,LDE,6-6,281,31,Florida,7,4,7,516
Alex Erickson,12,WR,6-0,196,28,Wisconsin,16,2,7,517
Jordan Evans,50,WLB,6-2,237,25,Oklahoma,15,0,7,518
Ryan Finley,5,QB,6-4,212,26,Boise State; North Carolina State,5,1,7,519
B.J. Finney,61,C-ROG,6-4,318,29,Kansas State,1,0,7,520
A.J. Green,18,WR,6-4,209,32,Georgia,16,14,7,521
Clark Harris,46,LONG,6-5,255,36,Rutgers,16,0,7,522
Bobby Hart,68,ROT,6-4,329,26,Florida State,14,13,7,523
Trayvon Henderson,41,S,6-0,209,25,Hawaii,4,0,7,524
Tee Higgins,85,WR,6-3,218,21,Clemson,16,13,7,525
Trey Hopkins,66,C,6-3,309,28,Texas,15,15,7,526
Sam Hubbard,94,LDE-RDE,6-5,265,25,Ohio State,13,13,7,527
Kevin Huber,10,P,6-1,211,35,Cincinnati,16,0,7,528
Margus Hunt,70,DT-RE-LDE,6-8,296,33,Southern Methodist,9,1,7,529
Trenton Irwin,16,WR,6-2,204,25,Stanford,1,0,7,530
William Jackson,22,RCB,6-0,191,28,Trinity Valley CC; Houston,14,14,7,531
Fred Johnson,74,LOT-ROG-ROT,6-7,326,23,Florida,12,6,7,532
Keandre Jones,47,SLB,6-3,220,23,Ohio State; Maryland,2,0,7,533
Mike Jordan,60,LOG,6-7,312,22,Ohio State,15,10,7,534
Khalid Kareem,90,LDE-RDE,6-4,285,22,Notre Dame,16,1,7,535
Carl Lawson,58,RDE-LDE,6-2,263,25,Auburn,16,11,7,536
Kahlil McKenzie,69,DT-LDE,6-3,320,23,Tennessee,7,0,7,537
Joe Mixon,28,HB,6-1,224,24,Oklahoma,6,6,7,538
Stanley Morgan,17,WR,6-0,205,24,Nebraska,6,0,7,539
Samaje Perine,34,HB,5-11,234,25,Oklahoma,16,1,7,540
Darius Phillips,23,LCB,5-10,190,24,Western Michigan,12,8,7,541
Germaine Pratt,57,WLB,6-3,240,24,North Carolina State,16,15,7,542
Billy Price,5,C-ROG,6-4,308,25,Ohio State,16,1,7,543
D.J. Reader,98,NT,6-3,341,26,Clemson,5,5,7,544
Alex Redmond,62,ROG-LOG,6-5,310,25,UCLA,9,7,7,545
John Ross,11,WR,5-11,190,25,Washington,3,1,7,546
Drew Sample,89,TE,6-5,251,24,Washington,16,13,7,547
Mason Schreck,86,TE,6-5,252,27,Buffalo,14,1,7,548
Austin Seibert,3,K,5-9,214,24,Oklahoma,4,0,7,549
LeShaun Sims,38,LCB-RCB,6-0,203,27,Southern Utah,13,10,7,550
Quinton Spain,67,ROG-ROT,6-4,331,29,West Virginia,9,8,7,551
Xavier Su'a-Filo,72,LOG-ROG,6-4,308,29,UCLA,6,5,7,552
Keaton Sutherland,65,OG,6-5,316,23,Texas A&M,1,0,7,553
Auden Tate,19,WR,6-5,228,23,Florida State,9,2,7,554
Mike Thomas,80,WR,6-1,195,26,DuPage JC; Dodge City CC; Southern Mississippi,14,0,7,555
C.J. Uzomah,87,TE,6-6,268,27,Auburn,2,2,7,556
Jonah Williams,73,LOT,6-5,301,23,Alabama,10,10,7,557
Shawn Williams,36,SS,6-0,211,29,Georgia,13,0,7,558
Trayveon Williams,32,RB,5-9,200,23,Texas A&M,10,0,7,559
Xavier Williams,71,NT-DT-LDE,6-3,309,28,Northern Iowa,11,3,7,560
Brandon Wilson,40,FS,5-10,200,26,Houston,16,0,7,561
Logan Wilson,55,WLB-SLB,6-2,250,24,Wyoming,12,2,7,562
Ryan Allen,8,P,6-2,219,30,Oregon State; Louisiana Tech,1,0,31,563
Daren Bates,56,LILB,5-11,225,30,Auburn,13,0,31,564
Cameron Batson,13,WR,5-8,175,25,Texas Tech,12,0,31,565
Vic Beasley,44,LOLB,6-3,241,28,Clemson,5,0,31,566
Khari Blasingame,41,FB,6-0,233,24,Vanderbilt,15,7,31,567
Breon Borders,39,LCB-RCB,6-0,189,25,Duke,6,5,31,568
Aaron Brewer,62,LOG-ROG-C,6-3,270,23,Texas State,12,1,31,569
Beau Brinkley,48,LONG,6-4,254,30,Missouri,7,0,31,570
A.J. Brown,11,WR,6-1,230,23,Mississippi,14,12,31,571
Jayon Brown,55,RILB,6-0,226,25,UCLA,10,10,31,572
Malcolm Butler,21,RCB,5-11,190,30,Hinds CC; West Alabama,16,16,31,573
Kevin Byard,31,FS,5-11,212,27,Middle Tennessee State,16,16,31,574
Jadeveon Clowney,99,LOLB,6-6,269,27,South Carolina,8,8,31,575
Will Compton,53,LILB-RILB,6-1,235,31,Nebraska,12,1,31,576
Kamalei Correa,40,ROLB,6-3,244,26,Boise State,3,0,31,577
Jack Crawford,94,DE,6-5,287,32,Penn State,16,9,31,578
Dane Cruikshank,29,SS,6-1,209,25,Citrus JC; Arizona,2,0,31,579
Trevor Daniel,12,P,6-1,227,26,Tennessee,2,0,31,580
Corey Davis,84,WR,6-3,209,25,Western Michigan,14,12,31,581
Nate Davis,64,ROG,6-3,311,24,North Carolina-Charlotte,16,16,31,582
Matt Dickerson,92,NT,6-5,292,25,UCLA,10,0,31,583
Jamil Douglas,75,ROG-LOG-C,6-4,309,28,Arizona State,14,0,31,584
Nick Dzubnar,49,LILB,6-1,240,29,Cal Poly (San Luis Obispo),16,0,31,585
Darrynton Evans,32,RB,5-11,200,22,Appalachian State,5,0,31,586
Rashaan Evans,54,LILB,6-2,232,24,Alabama,16,16,31,587
Anthony Firkser,86,TE,6-2,246,25,Harvard,16,1,31,588
D'Onta Foreman,45,RB,6-1,236,24,Texas,6,0,31,589
Kristian Fulton,26,RCB-LCB,6-0,200,22,Louisiana State,6,2,31,590
Stephen Gostkowski,3,K,6-1,213,36,Memphis,15,0,31,591
Derrick Henry,22,RB,6-3,247,26,Alabama,16,16,31,592
Cody Hollister,16,WR,6-4,212,27,Nevada-Reno; Arizona Western JC; Arkansas,1,0,31,593
Amani Hooker,37,SS-FS,6-0,210,22,Iowa,16,3,31,594
Adam Humphries,10,WR,5-11,195,27,Clemson,7,1,31,595
Adoree' Jackson,25,LCB,5-11,185,25,Southern California,3,2,31,596
Chris Jackson,35,LCB-RCB,6-0,186,22,Marshall,11,3,31,597
Ben Jones,60,C,6-3,308,31,Georgia,16,16,31,598
DaQuan Jones,90,NT,6-4,322,29,Penn State,16,16,31,599
Johnathan Joseph,33,LCB,5-11,190,36,Coffeyville CC; South Carolina,7,6,31,600
Joshua Kalu,46,SS,6-0,203,25,Nebraska,15,0,31,601
Dennis Kelly,71,ROT,6-8,321,40,Purdue,16,16,31,602
Brett Kern,6,P,6-2,214,34,Toledo,13,0,31,603
Desmond King,33,LCB,5-10,200,26,Iowa,9,5,31,604
Harold Landry,58,ROLB,6-2,252,24,Boston College,16,16,31,605
Taylor Lewan,77,LOT,6-7,309,29,Michigan,5,5,31,606
David Long,51,RILB,5-11,221,24,West Virginia,14,5,31,607
Isaiah Mack,97,DT,6-1,299,25,Tennessee-Chattanooga,6,0,31,608
Jeremy McNichols,28,RB,5-9,210,25,Boise State,16,0,31,609
Chris Milton,30,RCB,5-11,194,28,Georgia Tech,14,0,31,610
Daniel Munyer,52,LOG,6-1,305,28,Colorado,3,0,31,611
Larrell Murchison,91,DE,6-3,291,23,Louisburg JC; North Carolina State,10,0,31,612
Marshall Newhouse,78,LOT-ROT,6-4,328,32,Texas Christian,4,0,31,613
Kareem Orr,36,LCB,5-11,195,23,Arizona State; Tennessee-Chattanooga,5,0,31,614
Matt Overton,47,LONG,6-1,243,35,Diablo Valley JC; Western Washington,9,0,31,615
Senorise Perry,20,RB,6-0,210,29,Louisville,7,0,31,616
MyCole Pruitt,85,TE,6-2,251,28,Southern Illinois,11,4,31,617
David Quessenberry,72,LOT,6-5,310,30,San Jose State,12,6,31,618
Wyatt Ray,57,LOLB-ROLB,6-3,250,24,Boston College,4,1,31,619
Kalif Raymond,14,WR,5-9,160,26,Holy Cross,15,3,31,620
Brooks Reed,42,LOLB,6-3,254,33,Arizona,2,1,31,621
Derick Roberson,50,LOLB-ROLB,6-3,250,25,Texas; Sam Houston State,8,1,31,622
Rodger Saffold,76,LOG,6-5,325,32,Indiana,15,15,31,623
Ty Sambrailo,70,LOT-ROT,6-5,315,28,Colorado State,10,5,31,624
Jeffery Simmons,98,DT,6-4,300,23,Mississippi State,14,14,31,625
Tuzar Skipper,59,LOLB,6-3,246,25,Monroe JC; Toledo,4,2,31,626
Sam Sloman,2,K,5-8,205,23,Miami (Ohio),1,0,31,627
Jonnu Smith,81,TE,6-3,248,25,Florida International,15,14,31,628
Tye Smith,23,LCB-RCB,6-0,195,27,Towson,12,3,31,629
Geoff Swaim,87,TE,6-4,260,27,Butte CC; Texas,12,8,31,630
Ryan Tannehill,17,QB,6-4,217,32,Texas A&M,16,16,31,631
Teair Tart,78/93,DE-DT-NT,6-3,290,23,ASA JC; Ellsworth CC; Florida International,7,1,31,632
Kenny Vaccaro,24,SS,6-0,214,29,Texas,13,13,31,633
Nick Westbrook-Ikhine,15,WR,6-3,219,23,Indiana,14,1,31,634
Isaiah Wilson,79,OT,6-7,340,21,Georgia,1,0,31,635
Logan Woodside,5,QB,6-1,213,25,Toledo,6,0,31,636
Matthew Adams,49,WLB,6-0,230,25,Houston,9,0,14,637
Mo Alie-Cox,81,TE,6-5,267,27,Virginia Commonwealth,15,6,14,638
Ryan Allen,6,P,6-2,219,30,Oregon State; Louisiana Tech,2,0,14,639
Denico Autry,96,RDE,6-5,271,30,East Mississippi CC; Mississippi State,14,13,14,640
Ben Banogu,52,LDE,6-4,249,24,Louisiana-Monroe; Texas Christian,9,0,14,641
Julian Blackmon,32,FS,6-1,204,22,Utah,15,14,14,642
Rodrigo Blankenship,3,K,6-1,191,23,Georgia,16,0,14,643
Jacoby Brissett,7,QB,6-4,235,28,Florida; North Carolina State,11,0,14,644
DeForest Buckner,99,DT,6-7,300,26,Oregon,15,14,14,645
Trey Burton,80,TE,6-3,235,29,Florida,13,4,14,646
Ibraheim Campbell,33,SS,5-11,209,28,Northwestern,5,0,14,647
Parris Campbell,15,WR,6-1,208,23,Ohio State,2,2,14,648
T.J. Carrie,38,LCB,6-0,205,30,Ohio University,15,2,14,649
Anthony Castonzo,74,LOT,6-7,310,32,Boston College,12,12,14,650
Le'Raven Clark,62,LOT-ROT,6-5,314,27,Texas Tech,12,3,14,651
Kameron Cline,92,DT,6-4,270,22,South Dakota,1,0,14,652
Sheldon Day,91,DT,6-1,294,26,Notre Dame,4,0,14,653
Jack Doyle,84,TE,6-6,262,30,Western Kentucky,14,12,14,654
Ashton Dulin,16,WR,6-1,215,23,Malone,13,0,14,655
Jake Eldrenkamp,60,OG,6-5,305,26,Washington,2,0,14,656
Daurice Fountain,10,WR,6-1,210,25,Northern Iowa,5,0,14,657
Zaire Franklin,44,SLB-MLB,6-0,238,24,Syracuse,16,2,14,658
Jordan Glasgow,59,WLB,6-1,226,24,Michigan,13,0,14,659
Mark Glowinski,64,ROG,6-4,310,28,Lackawanna JC; West Virginia,16,16,14,660
Chaz Green,75,LOT,6-5,314,28,Florida,16,1,14,661
Farrod Green,41,TE,6-4,240,23,Mississippi State,1,0,14,662
De'Michael Harris,12,WR,5-9,175,22,Hinds CC; Southern Mississippi,7,0,14,663
T.Y. Hilton,13,WR,5-9,179,31,Florida International,15,15,14,664
Nyheim Hines,21,RB,5-9,198,24,North Carolina State,16,2,14,665
Will Holden,69,ROT,6-7,312,27,Vanderbilt,1,1,14,666
Malik Hooker,29,FS,6-1,212,24,Ohio State,2,2,14,667
Justin Houston,50,LDE,6-3,258,31,Georgia,16,16,14,668
Joey Hunt,68,C,6-2,299,26,Texas Christian,2,0,14,669
Marcus Johnson,83,WR,6-1,204,26,Texas,11,3,14,670
Ryan Kelly,78,C,6-4,311,27,Alabama,15,15,14,671
Shaquille Leonard,53,,6-2,234,25,South Carolina State,14,14,14,672
Tyquan Lewis,94,RDE-DT,6-3,269,25,Ohio State,16,4,14,673
Marlon Mack,25,RB,5-11,210,24,South Florida,1,1,14,674
Cassius Marsh,55,DE,6-4,248,28,UCLA,3,0,14,675
Kenny Moore,23,NB-LCB,5-9,179,25,Valdosta State,16,14,14,676
Al-Quadin Muhammad,97,RDE,6-4,250,25,Miami (Florida),16,0,14,677
Quenton Nelson,56,LOG,6-5,330,24,Notre Dame,16,16,14,678
George Odum,30,FS,6-2,185,27,Central Arkansas,16,0,14,679
Bobby Okereke,58,SLB,6-3,234,24,Stanford,14,8,14,680
Zach Pascal,14,WR,6-2,219,26,Old Dominion,16,14,14,681
Dezmon Patmon,85,WR,6-4,228,22,Washington State,1,0,14,682
Danny Pinter,63,C,6-4,300,24,Ball State,13,1,14,683
Michael Pittman,11,WR,6-4,220,23,Southern California,13,8,14,684
Luke Rhodes,46,LONG,6-2,239,28,William & Mary,16,0,14,685
Xavier Rhodes,27,RCB,6-1,217,30,Florida State,16,16,14,686
Philip Rivers,17,QB,6-5,228,39,North Carolina State,16,16,14,687
Isaiah Rodgers,34,NB,5-10,170,22,Massachusetts,13,0,14,688
Rigoberto Sanchez,8,P,6-0,195,26,Butte CC; Hawaii,14,0,14,689
Braden Smith,72,ROT,6-6,315,24,Auburn,14,14,14,690
Tremon Smith,35,RCB,6-0,190,24,Central Arkansas,10,0,14,691
E.J. Speed,45,SLB,6-4,230,25,Tarleton State,15,0,14,692
Taylor Stallworth,76,NT,6-2,305,25,South Carolina,16,1,14,693
Grover Stewart,90,NT,6-4,333,27,Albany State,16,16,14,694
Jonathan Taylor,28,RB,5-11,219,21,Wisconsin,15,13,14,695
Noah Togiai,96,TE,6-4,246,23,Oregon State,4,0,14,696
Kemoko Turay,57,LDE,6-5,252,25,Rutgers,8,0,14,697
Jared Veldheer,65,OT,6-8,318,33,Hillsdale,1,1,14,698
Anthony Walker,54,MLB,6-1,236,25,Northwestern,16,16,14,699
J'Marcus Webb,73,OT,6-7,332,32,Texas; Navarro JC; West Texas A&M,1,0,14,700
Jordan Wilkins,20,RB,6-1,216,26,Mississippi,15,0,14,701
Khari Willis,37,SS,6-0,215,24,Michigan State,14,14,14,702
Tavon Wilson,31,SS,6-0,213,30,Illinois,15,2,14,703
Rob Windsor,93,DT,6-4,285,23,Penn State,2,0,14,704
Rock Ya-Sin,26,LCB,6-2,190,24,Presbyterian; Temple,13,8,14,705
Tyrell Adams,50,RILB-LILB,6-2,230,28,West Georgia,16,12,13,706
Jordan Akins,88,TE,6-4,243,28,Central Florida,13,5,13,707
Auzoyah Alufohai,98,NT,6-4,320,24,Kennesaw State; West Georgia,3,0,13,708
Bryan Anger,9,P,6-3,204,32,California,16,0,13,709
Cornell Armstrong,30,RCB,6-0,185,25,Southern Mississippi,10,0,13,710
Beau Benzschawel,64,OG,6-6,300,25,Wisconsin,1,0,13,711
Ross Blacklock,90,NT,6-4,305,22,Texas Christian,15,1,13,712
Andrew Brown,97,NT-LDE,6-3,296,25,Virginia,3,0,13,713
Pharaoh Brown,85,TE,6-5,246,26,Oregon,13,9,13,714
DeAndre Carter,14,WR,5-10,185,27,Sacramento State,9,0,13,715
Anthony Chesley,43,CB,6-0,190,25,Coastal Carolina,2,0,13,716
Randall Cobb,18,WR,5-10,192,30,Kentucky,10,2,13,717
Dylan Cole,51,RILB-LILB,6-0,238,26,Missouri State,6,0,13,718
Brandin Cooks,13,WR,5-10,1898,27,Oregon State,15,15,13,719
Isaiah Coulter,82,WR,6-3,190,22,Rhode Island,1,0,13,720
Keke Coutee,16,WR,5-11,187,23,Texas Tech,8,4,13,721
Keion Crossen,35,LCB-RCB,5-10,185,24,Western Carolina,16,4,13,722
Zach Cunningham,51,LILB-RILB,6-3,234,26,Vanderbilt,16,16,13,723
Brandon Dunn,92,NT,6-2,305,28,Louisville,13,13,13,724
Kyle Emanuel,56,RILB-LILB,6-3,250,29,North Dakota State,7,0,13,725
Ka'imi Fairbairn,7,K,6-0,186,26,UCLA,16,0,13,726
Darren Fells,87,TE,6-7,277,34,UC Irvine,16,14,13,727
Mark Fields,39,LCB,5-10,181,24,Clemson,2,0,13,728
