Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,player_id
Jerry Hughes,55,RDE-LDE,6-2,254,32,Texas Christian,15,15,4,25
Micah Hyde,23,FS,6-0,197,30,Iowa,15,15,4,26
Dane Jackson,30,RCB-LCB,6-0,190,24,Pittsburgh,4,2,4,27
Quinton Jefferson,90,LDT,6-4,291,26,Maryland,16,4,4,28
Darryl Johnson,92,LDE,6-5,232,23,North Carolina A&T State,15,0,4,29
Jaquan Johnson,46,FS,5-11,195,25,Miami (Florida),14,0,4,30
Taron Johnson,24,NB,5-11,192,24,Weber State,16,11,4,31
Taiwan Jones,25,RB,6-0,195,32,Eastern Washington,13,0,4,32
A.J. Klein,54,WLB-SLB,6-1,242,29,Iowa State,16,11,4,33
Dawson Knox,88,TE,6-4,257,24,Mississippi,12,7,4,34
Tyler Kroft,81,TE,6-6,248,28,Rutgers,10,4,4,35
Jake Kumerow,87,WR,6-4,209,28,Illinois; Wisconsin-Whitewater,6,0,4,36
Deon Lacey,40,WLB,6-3,235,30,West Alabama,5,0,4,37
Darron Lee,52,WLB,6-1,232,26,Ohio State,2,0,4,38
Cam Lewis,47,LCB-RCB,5-9,183,23,Buffalo,5,2,4,39
Mike Love,56,RDE,6-3,255,26,South Florida,1,0,4,40
Dean Marlowe,31,SS,6-1,207,28,James Madison,15,4,4,41
Tyler Matakevich,44,MLB,6-1,235,28,Temple,16,0,4,42
Isaiah McKenzie,19,WR,5-8,173,25,Georgia,16,7,4,43
Matt Milano,58,WLB-SLB,6-0,223,26,Boston College,10,5,4,44
Mitch Morse,60,C,6-5,305,28,Missouri,14,14,4,45
Zack Moss,20,RB,5-10,222,23,Utah,13,0,4,46
Trent Murphy,93,LDE,6-5,259,30,Stanford,9,9,4,47
Siran Neal,33,LCB-RCB,6-0,206,26,Jacksonville State,16,0,4,48
Josh Norman,29,RCB-LCB,6-0,199,33,Coastal Carolina,9,3,4,49
Ty Nsekhe,77,ROT-LOT,6-8,331,35,Texas State,15,0,4,50
Ed Oliver,91,RDT-LDT,6-3,292,23,Houston,16,16,4,51
Del'Shawn Phillips,43,SLB,6-2,230,24,Garden City CC; Illinois,2,0,4,52
Harrison Phillips,99,RDT-LDT,6-3,307,24,Stanford,12,3,4,53
Jordan Poyer,21,SS,6-0,191,29,Oregon State,16,16,4,54
Andre Roberts,18,WR,5-11,194,32,The Citadel,15,0,4,55
Devin Singletary,26,RB,5-9,200,23,Florida Atlantic,16,16,4,56
Andre Smith,59,WLB-MLB,6-0,240,23,North Carolina,12,0,4,57
Lee Smith,85,TE,6-6,265,33,Marshall,10,2,4,58
Quinton Spain,67,LOG,6-4,331,29,West Virginia,4,2,4,59
Josh Thomas,36,S,6-0,205,24,Appalachian State,2,0,4,60
Levi Wallace,39,RCB-LCB,6-0,179,25,Alabama,12,12,4,61
Tre'Davious White,27,LCB-RCB,5-11,192,25,Louisiana State,15,15,4,62
Antonio Williams,35,RB,5-11,215,23,Ohio State; North Carolina,1,0,4,63
Daryl Williams,75,ROT,6-6,332,28,Oklahoma,16,16,4,64
Duke Williams,82,WR,6-3,225,27,Mississippi Gulf Coast CC; Auburn,1,0,4,65
Brian Winters,66,ROG-LOG,6-4,320,28,Kent State,16,9,4,66
Daryl Worley,37,CB,6-1,205,25,West Virginia,1,0,4,67
T.J. Yeldon,22,RB,6-1,224,27,Alabama,4,0,4,68
Justin Zimmer,61,LDT-RDT,6-3,292,28,Ferris State,12,0,4,69
Salvon Ahmed,26,RB,5-11,196,22,Washington,6,4,20,70
Jerome Baker,55,RILB,6-2,225,24,Ohio State,16,11,20,71
