Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Bryan Anger,5.0,P,6-3,204,33.0,California,17.0,0.0,9,,,1206
Dorance Armstrong,92.0,RDE,6-4,255,24.0,Kansas,13.0,5.0,9,,,1207
Tarell Basham,93.0,LDE,6-4,266,27.0,Ohio University,17.0,6.0,9,,,1208
Francis Bernard,53.0,ROLB-LOLB,6-1,235,26.0,Brigham Young; Utah,8.0,0.0,9,,,1209
Tyler Biadasz,63.0,C,6-4,316,23.0,Wisconsin,17.0,17.0,9,,,1210
Quinton Bohanna,98.0,LDT,6-4,357,22.0,Kentucky,14.0,1.0,9,,,1211
Anthony Brown,30.0,RCB-LCB,5-11,196,28.0,Purdue,16.0,16.0,9,,,1212
Kyron Brown,36.0,CB,6-1,195,25.0,Akron,1.0,0.0,9,,,1213
Noah Brown,85.0,WR,6-2,225,24.0,Ohio State,13.0,1.0,9,,,1214
Ian Bunting,49.0,TE,6-7,255,25.0,Michigan; California,1.0,0.0,9,,,1215
Deante Burton,33.0,CB,6-2,205,27.0,Kansas State,1.0,0.0,9,,,1216
Maurice Canady,31.0,NB,6-1,193,27.0,Virginia,8.0,0.0,9,,,1217
Corey Clement,32.0,RB,5-10,220,27.0,Wisconsin,17.0,0.0,9,,,1218
La'el Collins,71.0,ROT,6-3,318,28.0,Louisiana State,12.0,10.0,9,,,1219
Amari Cooper,19.0,WR,6-1,210,27.0,Alabama,15.0,14.0,9,,,1220
Jabril Cox,14.0,LOLB,6-4,231,23.0,North Dakota State; Louisiana State,7.0,0.0,9,,,1221
Tyler Coyle,39.0,S,6-2,215,23.0,Connecticut; Purdue,2.0,0.0,9,,,1222
Trevon Diggs,7.0,LCB-RCB,6-2,207,24.0,Alabama,16.0,16.0,9,,,1223
Ezekiel Elliott,21.0,RB,6-0,228,26.0,Ohio State,17.0,17.0,9,,,1224
Austin Faoliu,58.0,DT,6-3,300,22.0,Oregon,1.0,0.0,9,,,1225
Matt Farniok,68.0,C,6-6,330,24.0,Nebraska,13.0,0.0,9,,,1226
Simi Fehoko,81.0,WR,6-4,227,24.0,Stanford,5.0,0.0,9,,,1227
Neville Gallimore,96.0,LDT,6-2,304,24.0,Oklahoma,5.0,4.0,9,,,1228
Michael Gallup,13.0,WR,6-1,205,25.0,Butler CC; Colorado State,9.0,8.0,9,,,1229
Luke Gifford,57.0,MLB-ROLB,6-3,245,26.0,Nebraska,16.0,0.0,9,,,1230
Chauncey Golston,59.0,RDE,6-5,227,24.0,Iowa,15.0,0.0,9,,,1231
C.J. Goodwin,29.0,LCB-RCB,6-3,190,31.0,Bethany; Fairmont State; California (Pennsylvania),17.0,0.0,9,,,1232
Randy Gregory,94.0,RDE,6-5,251,29.0,Arizona Western JC; Nebraska,12.0,11.0,9,,,1233
Lirim Hajrullahu,3.0,K,5-11,207,31.0,Western Ontario,1.0,0.0,9,,,1234
Justin Hamilton,99.0,RDT,6-2,315,28.0,Louisiana-Lafayette,9.0,0.0,9,,,1235
JaQuan Hardy,37.0,RB,5-10,225,24.0,Tiffin,3.0,0.0,9,,,1236
Trysten Hill,72.0,LDT,6-2,315,23.0,Central Florida,6.0,0.0,9,,,1237
Malik Hooker,28.0,FS-SS,6-1,212,25.0,Ohio State,15.0,3.0,9,,,1238
Blake Jarwin,89.0,TE,6-5,260,27.0,Oklahoma State,8.0,5.0,9,,,1239
Kelvin Joseph,24.0,RCB-LCB,6-1,192,22.0,Louisiana State; Kentucky,10.0,2.0,9,,,1240
Azur Kamara,54.0,LDE,6-4,235,24.0,Arizona Western JC; Kansas,9.0,0.0,9,,,1241
Damontae Kazee,18.0,FS,5-11,182,28.0,San Diego State,17.0,15.0,9,,,1242
Jayron Kearse,27.0,SS,6-4,215,27.0,Clemson,16.0,15.0,9,,,1243
Brandon Knight,69.0,ROT-LOT-ROG,6-4,310,24.0,Indiana,1.0,0.0,9,,,1244
CeeDee Lamb,88.0,WR,6-2,198,22.0,Oklahoma,16.0,13.0,9,,,1245
DeMarcus Lawrence,90.0,LDE,6-3,265,29.0,Butler CC; Boise State,7.0,7.0,9,,,1246
Jourdan Lewis,26.0,NB,5-10,195,26.0,Michigan,16.0,13.0,9,,,1247
Zack Martin,70.0,ROG,6-4,314,31.0,Notre Dame,16.0,16.0,9,,,1248
Connor McGovern,66.0,LOG-ROG-C-FB,6-5,308,24.0,Penn State,16.0,6.0,9,,,1249
Sean McKeon,84.0,TE,6-5,246,24.0,Michigan,9.0,2.0,9,,,1250
Jake McQuaide,44.0,LONG,6-2,240,34.0,Ohio State,17.0,0.0,9,,,1251
Israel Mukuamu,38.0,SS,6-4,205,22.0,South Carolina,4.0,0.0,9,,,1252
Keanu Neal,42.0,MLB,6-0,214,26.0,Florida,14.0,5.0,9,,,1253
Ty Nsekhe,79.0,LOT-ROT,6-8,331,36.0,Texas State,12.0,0.0,9,,,1254
Osa Odighizuwa,97.0,LDT-RDT,6-2,279,23.0,UCLA,16.0,12.0,9,,,1255
Micah Parsons,11.0,LOLB,6-3,245,22.0,Penn State,16.0,16.0,9,,,1256
Tony Pollard,20.0,RB,6-0,208,24.0,Memphis,15.0,0.0,9,,,1257
Dak Prescott,4.0,QB,6-4,237,28.0,Mississippi State,16.0,16.0,9,,,1258
Nick Ralston,46.0,FB,6-1,240,25.0,Arizona State; Louisiana-Lafayette,4.0,0.0,9,,,1259
Cooper Rush,10.0,QB,6-3,225,28.0,Central Michigan,5.0,1.0,9,,,1260
Dalton Schultz,86.0,TE,6-5,260,25.0,Stanford,17.0,15.0,9,,,1261
Ito Smith,43.0,RB,5-9,195,26.0,Southern Mississippi,1.0,0.0,9,,,1262
Jaylon Smith,9.0,MLB,6-2,245,26.0,Notre Dame,4.0,2.0,9,,,1263
Tyron Smith,77.0,LOT,6-5,320,31.0,Southern California,11.0,11.0,9,,,1264
Jeremy Sprinkle,87.0,TE,6-5,252,27.0,Arkansas,17.0,4.0,9,,,1265
Terence Steele,78.0,LOT-ROT,6-6,310,24.0,Texas Tech,16.0,13.0,9,,,1266
Darian Thompson,23.0,S,6-2,211,28.0,Boise State,5.0,0.0,9,,,1267
Malik Turner,17.0,WR,6-3,205,25.0,Illinois,14.0,0.0,9,,,1268
Brent Urban,95.0,RDT-RDE,6-7,298,30.0,Virginia,6.0,4.0,9,,,1269
Leighton Vander Esch,55.0,ROLB,6-4,255,24.0,Boise State,17.0,16.0,9,,,1270
Carlos Watkins,91.0,RDT-LDT,6-3,301,28.0,Clemson,15.0,14.0,9,,,1271
Connor Williams,52.0,LOG-FB,6-5,310,24.0,Texas,17.0,14.0,9,,,1272
Ced Wilson,1.0,WR,6-2,195,26.0,Coffeyville CC; Boise State,16.0,4.0,9,,,1273
Donovan Wilson,6.0,FS-SS,6-1,207,24.0,Texas A&M,9.0,3.0,9,,,1274
Nahshon Wright,25.0,RCB-LCB,6-4,188,23.0,Laney JC; Oregon State,13.0,1.0,9,,,1275
Greg Zuerlein,2.0,K,6-0,193,34.0,Nebraska-Omaha; Missouri Western State,16.0,0.0,9,,,1276
Jack Anderson,76.0,ROG-C,6-5,315,23.0,Texas Tech,2.0,1.0,26,,,1277
J.J. Arcega-Whiteside,19.0,WR,6-3,225,25.0,Stanford,16.0,2.0,26,,,1278
Genard Avery,58.0,SLB,6-1,230,26.0,Memphis,16.0,12.0,26,,,1279
Kayode Awosika,72.0,OT,6-5,315,23.0,Buffalo,1.0,0.0,26,,,1280
Derek Barnett,96.0,RDE,6-3,259,25.0,Tennessee,16.0,15.0,26,,,1281
Shaun Bradley,54.0,MLBWLB,6-1,230,24.0,Temple,15.0,1.0,26,,,1282
Brandon Brooks,79.0,ROG,6-5,335,32.0,Miami (Ohio),2.0,2.0,26,,,1283
Andre Chachere,21.0,SS,6-0,200,25.0,San Jose State,16.0,1.0,26,,,1284
Le'Raven Clark,74.0,ROT,6-5,314,28.0,Texas Tech,4.0,1.0,26,,,1285
Fletcher Cox,91.0,RDT,6-4,310,31.0,Mississippi State,16.0,16.0,26,,,1286
Landon Dickerson,69.0,LOG-ROG-C,6-6,325,23.0,Florida State; Alabama,14.0,13.0,26,,,1287
Andre Dillard,77.0,LOT-ROT,6-5,310,26.0,Washington State,15.0,5.0,26,,,1288
Jack Driscoll,63.0,ROG-ROT,6-5,296,24.0,Massachusetts; Auburn,9.0,9.0,26,,,1289
T.J. Edwards,57.0,MLB-WLB,6-1,242,25.0,Wisconsin,16.0,14.0,26,,,1290
Jake Elliott,4.0,K,5-9,167,26.0,Memphis,17.0,0.0,26,,,1291
Christian Elliss,53.0,LB,6-3,233,22.0,Idaho,1.0,0.0,26,,,1292
Marcus Epps,22.0,FS-SS,6-0,197,25.0,Wyoming,16.0,4.0,26,,,1293
Zach Ertz,86.0,TE,6-5,249,31.0,Stanford,6.0,3.0,26,,,1294
Kenneth Gainwell,14.0,RB,5-11,191,22.0,Memphis,16.0,1.0,26,,,1295
Dallas Goedert,88.0,TE,6-5,256,26.0,South Dakota State,15.0,14.0,26,,,1296
Tay Gowan,36.0,CB,6-2,185,23.0,Mmiai (Ohio); Butler CC; Central Florida,2.0,0.0,26,,,1297
Brandon Graham,55.0,LDE,6-2,265,33.0,Michigan,2.0,2.0,26,,,1298
Javon Hargrave,97.0,LDT,6-2,305,28.0,South Carolina State,16.0,16.0,26,,,1299
Anthony Harris,28.0,FS,6-1,191,30.0,Virginia,14.0,14.0,26,,,1300
Nate Herbig,67.0,ROG-LOG-C,6-4,334,27.0,Stanford,16.0,5.0,26,,,1301
John Hightower,82.0,WR,6-2,172,25.0,HInds CC; Boise State,1.0,0.0,26,,,1302
Jordan Howard,24.0,RB,6-0,226,27.0,Alabama-Birmingham; Indiana,7.0,0.0,26,,,1303
Jason Huntley,32.0,RB,5-9,175,23.0,New Mexico State,1.0,0.0,26,,,1304
Jalen Hurts,1.0,QB,6-2,223,23.0,Alabama; Oklahoma,15.0,15.0,26,,,1305
Tarron Jackson,75.0,RDE-LDE,6-2,260,23.0,Coastal Carolina,17.0,0.0,26,,,1306
Tyree Jackson,80.0,TE,6-7,249,24.0,Buffalo,9.0,4.0,26,,,1307
Lane Johnson,65.0,ROT,6-6,316,31.0,Kilgore JC; Oklahoma,13.0,13.0,26,,,1308
Patrick Johnson,48.0,SLB,6-3,255,23.0,Tulane,17.0,2.0,26,,,1309
Jason Kelce,62.0,C,6-3,295,34.0,Cincinnati,17.0,17.0,26,,,1310
Ryan Kerrigan,90.0,RDE-LDE,6-4,259,33.0,Purdue,16.0,2.0,26,,,1311
Rick Lovato,45.0,LONG,6-2,249,29.0,Old Dominion,17.0,0.0,26,,,1312
Avonte Maddox,29.0,NB,5-9,184,25.0,Pittsburgh,16.0,5.0,26,,,1313
Jordan Mailata,68.0,LOT-ROT,6-8,346,24.0,none,14.0,14.0,26,,,1314
Cameron Malveaux,59.0,DE,6-5,268,27.0,Houston,3.0,0.0,26,,,1315
Jared Mayden,41.0,FS,6-0,205,23.0,Alabama,4.0,0.0,26,,,1316
Mac McCain,37.0,LCB,6-0,175,23.0,North Carolina A&T State,3.0,0.0,26,,,1317
Rodney McLeod,23.0,SS,5-10,195,31.0,Virginia,13.0,13.0,26,,,1318
Zech McPhearson,27.0,LCB-RCB,5-11,195,23.0,Penn State; Texas Tech,16.0,1.0,26,,,1319
Gardner Minshew,10.0,QB,6-2,220,25.0,Northwest Mississippi CC; East Carolina; Washington State,4.0,2.0,26,,,1320
Steven Nelson,3.0,LCB,5-11,194,28.0,Sequoias JC; Oregon State,16.0,16.0,26,,,1321
Sua Opeta,78.0,LOG,6-4,305,25.0,Weber State,10.0,2.0,26,,,1322
Jalen Reagor,18.0,WR,5-11,195,22.0,Texas Christian,17.0,13.0,26,,,1323
Hassan Ridgeway,98.0,LDT,6-3,313,27.0,Texas,17.0,1.0,26,,,1324
Elijah Riley,39.0,S,6-0,205,23.0,Army,1.0,0.0,26,,,1325
Richard Rodgers,81.0,TE,6-4,257,29.0,California,3.0,0.0,26,,,1326
Miles Sanders,26.0,RB,5-11,215,24.0,Penn State,12.0,12.0,26,,,1327
Boston Scott,35.0,RB,5-6,203,26.0,Louisiana Tech,16.0,4.0,26,,,1328
Josiah Scott,33.0,NB,5-10,171,22.0,Michigan State,14.0,0.0,26,,,1329
Isaac Seumalo,56.0,LOG,6-4,303,28.0,Oregon State,3.0,3.0,26,,,1330
Alex Singleton,49.0,WLB,6-2,235,28.0,Montana State,16.0,8.0,26,,,1331
Arryn Siposs,8.0,P,6-2,212,29.0,Auburn,17.0,0.0,26,,,1332
Darius Slay,2.0,RCB,6-0,190,30.0,Itawamba CC; Mississippi State,16.0,16.0,26,,,1333
DeVonta Smith,6.0,WR,6-1,175,23.0,Alabama,17.0,16.0,26,,,1334
