Player,No,Pos,Ht,Wt,Age,College,GP,GS,Team,Round,Overall,player_id
Zach Gentry,81.0,TE,6-8,262,25.0,Michigan,17.0,12.0,27,,,381
Ulysees Gilbert,54.0,LILB,6-1,230,24.0,Akron,17.0,0.0,27,,,382
Chaz Green,74.0,OT,6-5,314,29.0,Florida,2.0,0.0,27,,,383
Kendrick Green,53.0,C,6-4,315,23.0,Illinois,15.0,15.0,27,,,384
Joe Haden,23.0,LCB,5-11,193,32.0,Florida,12.0,11.0,27,,,385
Joe Haeg,71.0,LOT-ROT,6-6,305,28.0,North Dakota State,12.0,2.0,27,,,386
Najee Harris,22.0,RB,6-2,230,23.0,Alabama,17.0,17.0,27,,,387
Pressley Harvin,6.0,P,6-0,255,23.0,Georgia Tech,15.0,0.0,27,,,388
J.C. Hassenauer,60.0,C-LOG,6-2,295,26.0,Alabama,13.0,3.0,27,,,389
Cam Heyward,97.0,DT,6-5,293,32.0,Ohio State,17.0,17.0,27,,,390
Alex Highsmith,56.0,ROLB,6-4,242,24.0,North Carolina-Charlotte,16.0,16.0,27,,,391
Melvin Ingram,8.0,ROLB-LOLB,6-2,247,32.0,South Carolina,6.0,1.0,27,,,392
Buddy Johnson,45.0,RILB,6-2,240,22.0,Texas A&M,4.0,0.0,27,,,393
Diontae Johnson,18.0,WR,5-11,181,25.0,Toledo,16.0,14.0,27,,,394
Jamir Jones,40.0,LOLB-ROLB,6-3,255,23.0,Notre Dame,3.0,1.0,27,,,395
Karl Joseph,30.0,S,5-10,205,28.0,West Virginia,2.0,0.0,27,,,396
Miles Killebrew,28.0,SS,6-2,222,28.0,Southern Utah,17.0,0.0,27,,,397
Christian Kuntz,46.0,LONG,6-1,227,27.0,Duquesne,17.0,0.0,27,,,398
Justin Layne,31.0,LCB,6-3,185,23.0,Michigan State,17.0,0.0,27,,,399
John Leglue,77.0,LOG,6-7,310,25.0,Tulane,6.0,5.0,27,,,400
Isaiahh Loudermilk,92.0,DE-DT,6-7,293,24.0,Wisconsin,15.0,2.0,27,,,401
Arthur Maulet,35.0,RCB,5-10,190,28.0,Copiah-Lincoln CC; Memphis,16.0,2.0,27,,,402
Ray-Ray McCloud,14.0,WR,5-9,190,25.0,Clemson,17.0,5.0,27,,,403
Anthony McFarland,26.0,RB,5-9,198,23.0,Maryland,2.0,0.0,27,,,404
Anthony Miller,17.0,WR,5-11,190,27.0,Memphis,1.0,0.0,27,,,405
Henry Mondeaux,99.0,NT,6-4,280,26.0,Oregon,15.0,2.0,27,,,406
Dan Moore,65.0,LOT,6-5,315,23.0,Texas A&M,16.0,16.0,27,,,407
Tre Norwood,21.0,FS,6-0,194,22.0,Oklahoma,17.0,3.0,27,,,408
Chuks Okorafor,76.0,ROT,6-6,320,24.0,Western Michigan,16.0,16.0,27,,,409
James Pierre,42.0,LCB-RCB,6-2,185,25.0,Florida Atlantic,17.0,4.0,27,,,410
Kevin Rader,87.0,TE,6-5,250,26.0,Youngstown State,6.0,1.0,27,,,411
Ben Roethlisberger,7.0,QB,6-5,241,39.0,Miami (Ohio),16.0,16.0,27,,,412
Mason Rudolph,2.0,QB,6-5,235,26.0,Oklahoma State,2.0,1.0,27,,,413
Tegray Scales,30.0,LB,6-0,227,25.0,Indiana,1.0,0.0,27,,,414
Joe Schobert,93.0,RILB,6-1,245,28.0,Wisconsin,16.0,15.0,27,,,415
Delontae Scott,50.0,LB,6-5,250,24.0,Southern Methodist,1.0,0.0,27,,,416
John Simon,38.0,LB,6-1,256,31.0,Ohio State,1.0,0.0,27,,,417
Steven Sims,82.0,WR,5-10,190,24.0,Kansas,1.0,0.0,27,,,418
JuJu Smith-Schuster,19.0,WR,6-1,215,25.0,Southern California,5.0,5.0,27,,,419
Benny Snell,24.0,RB,5-11,223,23.0,Kentucky,17.0,0.0,27,,,420
Robert Spillane,41.0,RILB-LILB,6-1,229,26.0,Western Michigan,15.0,4.0,27,,,421
Cameron Sutton,20.0,RCB,5-11,188,26.0,Tennessee,16.0,16.0,27,,,422
Trai Turner,51.0,ROG,6-3,315,28.0,Louisiana State,17.0,17.0,27,,,423
Derrek Tuszka,48.0,LOLB-ROLB,6-5,246,24.0,North Dakota State,15.0,0.0,27,,,424
Corliss Waitman,10.0,P,6-2,210,26.0,South Alabama,2.0,0.0,27,,,425
James Washington,13.0,WR,6-0,205,25.0,Oklahoma State,16.0,2.0,27,,,426
Derek Watt,44.0,RB,6-2,234,29.0,Wisconsin,17.0,4.0,27,,,427
T.J. Watt,90.0,LOLB,6-4,252,27.0,Wisconsin,15.0,15.0,27,,,428
Cody White,15.0,WR,6-3,215,23.0,Michigan State,15.0,0.0,27,,,429
Ahkello Witherspoon,25.0,LCB,6-3,195,26.0,Sacramento CC; Colorado,9.0,3.0,27,,,430
Chris Wormley,95.0,DE,6-5,300,28.0,Michigan,15.0,14.0,27,,,431
Brian Allen,34.0,RCB,6-3,215,28.0,Utah,2.0,0.0,8,,,432
Odell Beckham,13.0,WR,5-11,198,29.0,Louisiana State,6.0,6.0,8,,,433
Andrew Billings,99.0,RDT,6-1,325,26.0,Baylor,7.0,0.0,8,,,434
Joel Bitonio,75.0,LOG-LOT,6-4,305,30.0,Nevada-Reno,17.0,17.0,8,,,435
Ja'Marcus Bradley,84.0,WR,6-1,195,25.0,Louisiana-Lafayette,5.0,0.0,8,,,436
Josiah Bronson,99.0,LDT,6-3,300,24.0,Temple; Washington,1.0,0.0,8,,,437
Harrison Bryant,88.0,TE,6-5,240,23.0,Florida Atlantic,17.0,3.0,8,,,438
Lawrence Cager,83.0,WR,6-5,220,24.0,Miami (Florida); Georgia,1.0,0.0,8,,,439
Nick Chubb,24.0,RB,5-11,227,26.0,Georgia,14.0,14.0,8,,,440
Jadeveon Clowney,90.0,RDE,6-6,269,28.0,South Carolina,14.0,14.0,8,,,441
Adrian Colbert,15.0,S,6-2,205,28.0,Texas; Miami (Florida),3.0,0.0,8,,,442
Dustin Colquitt,2.0,P,6-3,210,39.0,Tennessee,5.0,0.0,8,,,443
Jack Conklin,78.0,ROT,6-6,308,27.0,Michigan State,7.0,7.0,8,,,444
Sheldon Day,92.0,RDT,6-1,294,27.0,Notre Dame,7.0,1.0,8,,,445
Grant Delpit,22.0,SS,6-3,203,23.0,Louisiana State,16.0,7.0,8,,,446
Michael Dunn,68.0,LOG-ROG,6-5,295,27.0,Maryland,14.0,2.0,8,,,447
Jordan Elliott,96.0,RDT-LDT,6-4,315,24.0,Texas; Missouri,16.0,3.0,8,,,448
Demetric Felton,25.0,RB,5-10,200,23.0,UCLA,17.0,2.0,8,,,449
Tony Fields,42.0,WLB-SLB,6-1,220,22.0,Arizona; West Virginia,10.0,0.0,8,,,450
Miller Forristall,86.0,TE,6-5,244,23.0,Alabama,2.0,0.0,8,,,451
Jordan Franks,87.0,TE,6-4,240,25.0,Central Florida,1.0,0.0,8,,,452
Hjalte Froholdt,72.0,LOG,6-5,315,25.0,Arkansas,6.0,0.0,8,,,453
Myles Garrett,95.0,LDE,6-4,272,26.0,Texas A&M,17.0,17.0,8,,,454
Jamie Gillan,7.0,P,6-1,207,24.0,Arkansas-Pine Bluff,12.0,0.0,8,,,455
A.J. Green,38.0,LCB,6-1,190,23.0,Oklahoma State,12.0,1.0,8,,,456
Porter Gustin,94.0,RDE-LDE,6-5,267,24.0,Southern California,6.0,1.0,8,,,457
Blake Hance,62.0,ROT-LOT-ROG,6-5,310,25.0,Northwestern,17.0,8.0,8,,,458
Nick Harris,53.0,C,6-1,302,23.0,Washington,11.0,1.0,8,,,459
Tim Harris,34.0,CB,6-1,205,26.0,Virginia,1.0,0.0,8,,,460
Ronnie Harrison,33.0,SS,6-3,214,24.0,Alabama,12.0,11.0,8,,,461
Willie Harvey,54.0,SLB,5-11,230,25.0,Iowa State,2.0,0.0,8,,,462
Rashard Higgins,82.0,WR,6-1,198,27.0,Colorado State,15.0,4.0,8,,,463
Troy Hill,23.0,LCB,5-11,182,30.0,Oregon,12.0,4.0,8,,,464
Austin Hooper,81.0,TE,6-3,251,27.0,Stanford,16.0,16.0,8,,,465
Chris Hubbard,74.0,ROT,6-4,293,30.0,Alabama-Birmingham,1.0,0.0,8,,,466
James Hudson,66.0,ROT-LOT,6-5,310,22.0,Michigan; Cincinnati,12.0,4.0,8,,,467
Charley Hughlett,47.0,LONG,6-4,248,31.0,Central Florida,17.0,0.0,8,,,468
Kareem Hunt,27.0,RB,5-11,208,26.0,Toledo,8.0,1.0,8,,,469
Joe Jackson,91.0,RDE,6-5,265,25.0,Miami (Florida),13.0,0.0,8,,,470
Malik Jackson,97.0,LDT-RDT,6-4,291,31.0,Southern California; Tennessee,16.0,16.0,8,,,471
Andy Janovich,31.0,RB,6-1,238,28.0,Nebraska,14.0,3.0,8,,,472
D'Ernest Johnson,30.0,RB,5-10,207,25.0,South Florida,17.0,2.0,8,,,473
John Johnson,43.0,FS,6-0,207,26.0,Boston College,15.0,15.0,8,,,474
Case Keenum,5.0,QB,6-1,205,33.0,Houston,7.0,2.0,8,,,475
John Kelly,41.0,RB,5-10,205,25.0,Tennessee,4.0,0.0,8,,,476
Jarvis Landry,80.0,WR,5-11,202,29.0,Louisiana State,12.0,12.0,8,,,477
Richard LeCounte,39.0,FS,5-11,190,23.0,Georgia,9.0,1.0,8,,,478
Elijah Lee,52.0,MLB,6-2,229,25.0,Kansas State,16.0,0.0,8,,,479
Baker Mayfield,6.0,QB,6-1,215,26.0,Texas Tech; Oklahoma,14.0,14.0,8,,,480
Malik McDowell,48.0,RDT-LDT,6-6,295,25.0,Michigan State,15.0,14.0,8,,,481
Takkarist McKinley,55.0,RDE-LDE,6-2,240,26.0,Contra Costa JC; UCLA,11.0,2.0,8,,,482
Chase McLaughlin,3.0,K,6-1,175,25.0,Illinois,16.0,0.0,8,,,483
Herb Miller,29.0,LCB,6-2,190,24.0,Florida Atlantic,9.0,0.0,8,,,484
Jovante Moffatt,35.0,SS,6-0,210,25.0,Middle Tennessee State,5.0,0.0,8,,,485
Nick Mullens,9.0,QB,6-1,210,26.0,Southern Mississippi,1.0,1.0,8,,,486
Chris Naggar,8.0,K,6-1,195,24.0,Texas; Southern Methodist,1.0,0.0,8,,,487
JoJo Natson,19.0,WR,5-7,153,27.0,Utah State; Akron,3.0,0.0,8,,,488
Greg Newsome,20.0,RCB,6-1,190,21.0,Northwestern,12.0,11.0,8,,,489
David Njoku,85.0,TE,6-4,246,25.0,Miami (Florida),16.0,11.0,8,,,490
Ifeadi Odenigbo,57.0,RDE,6-3,258,27.0,Northwestern,9.0,0.0,8,,,491
Jeremiah Owusu-Koramoah,28.0,WLB,6-1,215,22.0,Notre Dame,14.0,10.0,8,,,492
Donovan Peoples-Jones,11.0,WR,6-2,208,22.0,Michigan,14.0,9.0,8,,,493
Jacob Phillips,50.0,WLB-MLB,6-4,233,22.0,Louisiana State,4.0,1.0,8,,,494
Anthony Schwartz,10.0,WR,6-0,179,21.0,Auburn,14.0,2.0,8,,,495
Malcolm Smith,56.0,MLB-SLB,6-0,225,32.0,Southern California,15.0,6.0,8,,,496
Johnny Stanton,40.0,FB,6-2,250,27.0,Nebraska; Saddleback JC; Nevada-Las Vegas,4.0,0.0,8,,,497
M.J. Stewart,36.0,SS-FS,5-11,200,26.0,North Carolina,13.0,3.0,8,,,498
Sione Takitaki,44.0,SLB,6-2,230,26.0,Brigham Young,15.0,8.0,8,,,499
Alex Taylor,70.0,LOT,6-9,308,24.0,Appalachian State; South Carolina State,2.0,0.0,8,,,500
Wyatt Teller,77.0,ROG,6-4,314,27.0,Virginia Tech,17.0,17.0,8,,,501
Tedric Thompson,37.0,S,6-0,204,26.0,Colorado,1.0,0.0,8,,,502
Tommy Togiai,93.0,RDT,6-2,300,22.0,Ohio State,6.0,0.0,8,,,503
J.C. Tretter,74.0,C,6-4,307,30.0,Cornell,16.0,16.0,8,,,504
Anthony Walker,4.0,MLB,6-1,236,26.0,Northwestern,13.0,12.0,8,,,505
Denzel Ward,21.0,LCB,5-11,190,24.0,Ohio State,15.0,15.0,8,,,506
Curtis Weaver,59.0,DE,6-3,265,23.0,Boise State,1.0,0.0,8,,,507
Greedy Williams,26.0,RCB,6-3,184,24.0,Louisiana State,16.0,8.0,8,,,508
Jedrick Wills,71.0,LOT,6-5,320,22.0,Alabama,13.0,13.0,8,,,509
Mack Wilson,51.0,WLB-SLB,6-2,239,23.0,Alabama,14.0,6.0,8,,,510
Mark Andrews,89.0,TE,6-5,256,25.0,Oklahoma,17.0,9.0,3,,,511
Anthony Averett,23.0,LCB,5-11,178,27.0,Alabama,14.0,14.0,3,,,512
Rashod Bateman,12.0,WR,6-2,210,22.0,Minnesota,12.0,4.0,3,,,513
Le'Veon Bell,17.0,RB,6-1,225,29.0,Michigan State,6.0,0.0,3,,,514
Chris Board,49.0,MLB,6-1,230,26.0,North Dakota State,16.0,0.0,3,,,515
Tyus Bowser,54.0,SLB,6-3,240,26.0,Houston,17.0,17.0,3,,,516
Miles Boykin,80.0,WR,6-4,228,25.0,Notre Dame,8.0,0.0,3,,,517
Nick Boyle,86.0,TE,6-4,265,28.0,Delaware,5.0,3.0,3,,,518
Bradley Bozeman,77.0,C,6-5,314,27.0,Alabama,16.0,16.0,3,,,519
Marquise Brown,5.0,WR,5-10,168,24.0,Canyons JC; Oklahoma,16.0,16.0,3,,,520
Josh Bynes,56.0,MLB,6-1,236,32.0,Auburn,14.0,12.0,3,,,521
Calais Campbell,93.0,DT-DE,6-8,295,35.0,Miami (Florida),15.0,14.0,3,,,522
Trenton Cannon,39.0,RB,5-11,185,27.0,Shepherd; Virginia State,1.0,0.0,3,,,523
James Carpenter,64.0,OT,6-5,321,32.0,Coffeyville CC; Alabama,1.0,0.0,3,,,524
Chuck Clark,36.0,SS,6-0,208,26.0,Virginia Tech,16.0,16.0,3,,,525
Ben Cleveland,66.0,LOG,6-6,335,23.0,Georgia,12.0,4.0,3,,,526
Trystan Colon-Castillo,63.0,C-LOG-ROG,6-4,315,23.0,Missouri,12.0,1.0,3,,,527
Devin Duvernay,13.0,WR,5-11,210,24.0,Texas,16.0,7.0,3,,,528
DeShon Elliott,32.0,FS,6-2,210,24.0,Texas,6.0,6.0,3,,,529
Justin Ellis,71.0,NT-DT,6-2,335,31.0,Louisiana Tech,17.0,6.0,3,,,530
Jaylon Ferguson,45.0,RUSH-SLB,6-5,262,26.0,Louisiana Tech,10.0,0.0,3,,,531
Devonta Freeman,33.0,RB,5-8,205,29.0,Florida State,16.0,8.0,3,,,532
Malik Harrison,40.0,WLB-SLB,6-3,240,23.0,Ohio State,14.0,5.0,3,,,533
Daelin Hayes,59.0,SLB,6-3,258,23.0,Notre Dame,1.0,0.0,3,,,534
Justin Houston,50.0,RUSH,6-3,258,32.0,Georgia,15.0,15.0,3,,,535
Marlon Humphrey,44.0,RCB,6-0,197,25.0,Alabama,12.0,5.0,3,,,536
Tyler Huntley,2.0,QB,61,205,23.0,Utah,7.0,4.0,3,,,537
Lamar Jackson,8.0,QB,6-2,212,24.0,Louisville,12.0,12.0,3,,,538
Robert Jackson,17.0,LCB,6-2,207,28.0,Sequoias JC; Nevada-Las Vegas,5.0,0.0,3,,,539
Tony Jefferson,31.0,SS,5-11,213,29.0,Oklahoma,4.0,0.0,3,,,540
Josh Johnson,15.0,QB,6-3,207,35.0,San Diego,1.0,1.0,3,,,541
Jaryd Jones-Smith,61.0,OT,6-6,322,26.0,Pittsburgh,4.0,0.0,3,,,542
Sam Koch,4.0,P,6-1,222,39.0,Nebraska,17.0,0.0,3,,,543
Anthony Levine,41.0,SS,5-11,203,34.0,Tennessee State,17.0,1.0,3,,,544
Isaiah Mack,94.0,NT,6-1,299,26.0,Tennessee-Chattanooga,2.0,0.0,3,,,545
Justin Madubuike,92.0,DE-DT,6-3,300,24.0,Texas A&M,15.0,11.0,3,,,546
Nate McCrary,47.0,RB,6-1,225,22.0,Saginaw Valley State,1.0,0.0,3,,,547
Kahlil McKenzie,69.0,OG-DT,6-3,320,24.0,Tennessee,5.0,0.0,3,,,548
Pernell McPhee,90.0,SLB,6-3,275,33.0,Itawamba CC; Mississippi State,10.0,0.0,3,,,549
Patrick Mekari,65.0,ROT,6-4,308,24.0,California,13.0,12.0,3,,,550
Nick Moore,46.0,LONG,6-3,250,29.0,Georgia,17.0,0.0,3,,,551
Latavius Murray,28.0,RB,6-3,229,31.0,Central Florida,14.0,6.0,3,,,552
Cedric Ogbuehi,67.0,LOT-ROT,6-5,309,29.0,Texas A&M,2.0,0.0,3,,,553
Josh Oliver,84.0,TE,6-5,250,24.0,San Jose State,15.0,1.0,3,,,554
Jayson Oweh,99.0,RUSH,6-5,352,23.0,Penn State,15.0,2.0,3,,,555
Tyre Phillips,74.0,ROG-LOG-ROG,6-5,345,24.0,East Mississippi CC; Mississippi State,10.0,5.0,3,,,556
Tony Poljan,83.0,TE,6-7,265,24.0,Central Michigan; Virginia,1.0,0.0,3,,,557
Ben Powers,72.0,LOG,6-4,313,25.0,Butler CC; Oklahoma,13.0,12.0,3,,,558
James Proche,11.0,WR,6-0,193,25.0,Southern Methodist,14.0,0.0,3,,,559
Patrick Queen,6.0,WLB-MLB,6-1,227,22.0,Louisiana State,17.0,17.0,3,,,560
Patrick Ricard,42.0,RB,6-3,307,27.0,Maine,13.0,11.0,3,,,561
Jordan Richards,48.0,S,5-11,210,28.0,Stanford,2.0,0.0,3,,,562
Kevon Seymour,38.0,NB-RCB,6-0,185,28.0,Southern California,8.0,2.0,3,,,563
David Sharpe,62.0,OT,6-6,343,26.0,Florida,4.0,0.0,3,,,564
Andre Smith,76.0,OT,6-4,335,34.0,Alabama,5.0,0.0,3,,,565
Jimmy Smith,22.0,LCB,6-2,209,33.0,Colorado,10.0,2.0,3,,,566
Ronnie Stanley,79.0,LOT,6-6,318,27.0,Notre Dame,1.0,1.0,3,,,567
Brandon Stephens,21.0,FS,6-0,206,24.0,UCLA; Southern Methodist,17.0,11.0,3,,,568
Geno Stone,26.0,SS-FS,5-10,210,22.0,Iowa,15.0,1.0,3,,,569
Joe Thomas,58.0,LB,6-1,228,30.0,South Carolina State,2.0,0.0,3,,,570
Eric Tomlinson,85.0,TE,6-6,263,29.0,Texas-El Paso,17.0,7.0,3,,,571
Justin Tucker,9.0,K,6-1,183,32.0,Texas,17.0,0.0,3,,,572
Alejandro Villanueva,78.0,LOT-ROT,6-9,320,33.0,Army,17.0,17.0,3,,,573
Tylan Wallace,16.0,WR,6-0,190,22.0,Oklahoma State,17.0,1.0,3,,,574
Ar'Darius Washington,29.0,FS,5-8,178,22.0,Texas Christian,3.0,0.0,3,,,575
Broderick Washington,96.0,DE-DT,6-3,305,25.0,Texas Tech,14.0,2.0,3,,,576
Sammy Watkins,14.0,WR,6-1,211,28.0,Clemson,13.0,9.0,3,,,577
Kristian Welch,57.0,WLB-MLB,6-3,220,23.0,Iowa,16.0,0.0,3,,,578
Chris Westry,30.0,RCB-LCB,6-4,197,24.0,Kentucky,6.0,2.0,3,,,579
Mazzi Wilkins,39.0,CB,6-0,191,26.0,South Florida,1.0,0.0,3,,,580
Brandon Williams,98.0,NT,6-1,338,32.0,Missouri Southern State,13.0,13.0,3,,,581
Ty'Son Williams,34.0,RB,6-0,220,25.0,North Carolina; South Carolina; Brigham Young,13.0,3.0,3,,,582
Daryl Worley,29.0,CB,6-1,205,26.0,West Virginia,1.0,0.0,3,,,583
Tavon Young,25.0,RCB,5-9,181,27.0,Temple,17.0,7.0,3,,,584
Kevin Zeitler,70.0,ROG,6-4,315,31.0,Wisconsin,17.0,17.0,3,,,585
Ola Adeniyi,92.0,LOLB,6-1,248,24.0,Toledo,16.0,0.0,31,,,586
Eli Ankou,95.0,NT,6-3,316,27.0,UCLA,1.0,1.0,31,,,587
Denico Autry,96.0,DE,6-5,271,31.0,East Mississippi CC; Mississippi State,17.0,12.0,31,,,588
Mike Badgley,8.0,K,5-10,183,26.0,Miami (Florida),1.0,0.0,31,,,589
Cameron Batson,13.0,WR,5-8,175,26.0,Texas Tech,4.0,0.0,31,,,590
Khari Blasingame,41.0,RB,6-0,233,25.0,Vanderbilt,12.0,3.0,31,,,591
Amani Bledsoe,94.0,LOLB-DE,6-4,280,23.0,Oklahoma,4.0,2.0,31,,,592
Breon Borders,39.0,RCB,6-0,189,26.0,Duke,12.0,0.0,31,,,593
Brady Breeze,33.0,SS,6-0,195,24.0,Oregon,5.0,0.0,31,,,594
Aaron Brewer,62.0,ROG-LOG-C,6-3,270,24.0,Texas State,12.0,5.0,31,,,595
A.J. Brown,11.0,WR,6-1,230,24.0,Mississippi,13.0,13.0,31,,,596
Jayon Brown,55.0,LOLB-LILB,6-0,226,26.0,UCLA,10.0,6.0,31,,,597
Randy Bullock,14.0,K,5-9,207,32.0,Texas A&M,16.0,0.0,31,,,598
Kevin Byard,31.0,FS,5-11,212,28.0,Middle Tennessee State,17.0,17.0,31,,,599
Jamal Carter,25.0,S,6-1,215,27.0,Miami (Florida),1.0,0.0,31,,,600
Tory Carter,44.0,FB,6-0,244,22.0,Louisiana State,8.0,2.0,31,,,601
Dylan Cole,53.0,RILB,6-0,238,27.0,Missouri State,9.0,0.0,31,,,602
Morgan Cox,46.0,LONG,6-4,233,35.0,Tennessee,17.0,0.0,31,,,603
Dane Cruikshank,29.0,SS,6-1,209,26.0,Citrus JC; Arizona,14.0,4.0,31,,,604
Zach Cunningham,41.0,LILB,6-3,234,27.0,Vanderbilt,4.0,4.0,31,,,605
Nate Davis,64.0,ROG,6-3,311,25.0,North Carolina-Charlotte,14.0,14.0,31,,,606
Christian DiLauro,69.0,OT,6-6,300,27.0,Illinois,1.0,0.0,31,,,607
Bud Dupree,48.0,LOLB,6-4,269,28.0,Kentucky,11.0,6.0,31,,,608
Nick Dzubnar,49.0,LILB-RILB,6-1,240,30.0,Cal Poly (San Luis Obispo),17.0,0.0,31,,,609
Darrynton Evans,32.0,RB,5-11,200,23.0,Appalachian State,1.0,0.0,31,,,610
Rashaan Evans,54.0,RILB,6-2,232,25.0,Alabama,12.0,12.0,31,,,611
Caleb Farley,3.0,RCB,6-2,207,23.0,Virginia Tech,3.0,0.0,31,,,612
Matthias Farley,21.0,FS-SS,5-11,209,29.0,Notre Dame,17.0,1.0,31,,,613
Sharif Finch,53.0,LOLB,6-4,250,26.0,Temple,1.0,0.0,31,,,614
Anthony Firkser,86.0,TE,6-2,246,26.0,Harvard,15.0,1.0,31,,,615
Dez Fitzpatrick,10.0,WR,6-2,210,24.0,Louisville,5.0,0.0,31,,,616
D'Onta Foreman,45.0,RB,6-1,236,25.0,Texas,9.0,3.0,31,,,617
Kristian Fulton,26.0,RCB,6-0,200,23.0,Louisiana State,13.0,13.0,31,,,618
Woodrow Hamilton,78.0,DT,6-3,315,29.0,Mississippi,2.0,0.0,31,,,619
Da'Shawn Hand,78.0,DE,6-3,297,26.0,Alabama,1.0,0.0,31,,,620
Bobby Hart,68.0,LOT-ROT,6-4,329,27.0,Florida State,3.0,1.0,31,,,621
Derrick Henry,22.0,RB,6-3,247,27.0,Alabama,8.0,8.0,31,,,622
Dontrell Hilliard,40.0,RB,5-11,202,26.0,Tulane,8.0,5.0,31,,,623
Kevin Hogan,18.0,QB,6-3,218,29.0,Stanford,1.0,0.0,31,,,624
Cody Hollister,16.0,WR,6-4,212,28.0,Nevada-Reno; Arizona Western JC; Arkansas,3.0,1.0,31,,,625
Amani Hooker,37.0,SS,6-0,210,23.0,Iowa,12.0,12.0,31,,,626
Tommy Hudson,89.0,TE,6-5,255,24.0,Arizona State,5.0,0.0,31,,,627
Ryan Izzo,83.0,TE,6-5,250,26.0,Florida State,1.0,0.0,31,,,628
Chris Jackson,35.0,LCB,6-0,186,23.0,Marshall,12.0,3.0,31,,,629
Janoris Jenkins,20.0,LCB,5-10,190,33.0,Florida; North Alabama,15.0,13.0,31,,,630
Marcus Johnson,88.0,WR,6-1,204,27.0,Texas,7.0,3.0,31,,,631
Ben Jones,60.0,C,6-3,308,32.0,Georgia,17.0,17.0,31,,,632
Chris Jones,23.0,RCB,6-0,200,26.0,Nebraska,7.0,0.0,31,,,633
Joe Jones,42.0,RILB-ROLB-LOLB,6-0,231,27.0,Northwestern,9.0,0.0,31,,,634
Julio Jones,2.0,WR,6-3,220,32.0,Alabama,10.0,10.0,31,,,635
Naquan Jones,90.0,NT,6-4,340,23.0,Michigan State,13.0,5.0,31,,,636
Brett Kern,6.0,P,6-2,214,35.0,Toledo,15.0,0.0,31,,,637
Mason Kinsey,12.0,WR,5-11,187,23.0,Berry,1.0,0.0,31,,,638
Kendall Lamm,71.0,LOT-ROT,6-6,305,29.0,Appalachian State,12.0,1.0,31,,,639
Harold Landry,58.0,ROLB,6-2,252,25.0,Boston College,17.0,17.0,31,,,640
Corey Levin,61.0,C-LOG-ROG,6-4,307,27.0,Tennessee-Chattanooga,12.0,0.0,31,,,641
Taylor Lewan,77.0,LOT,6-7,309,30.0,Michigan,14.0,14.0,31,,,642
David Long,51.0,LILB-RILB,5-11,221,25.0,West Virginia,10.0,9.0,31,,,643
Greg Mabin,30.0,RCB,6-2,200,27.0,Iowa,5.0,2.0,31,,,644
Bradley McDougald,30.0,SS,6-1,211,31.0,Kansas,2.0,1.0,31,,,645
Racey McMath,81.0,WR,6-3,224,22.0,Louisiana State,9.0,0.0,31,,,646
Jeremy McNichols,28.0,RB,5-9,210,26.0,Boise State,14.0,0.0,31,,,647
Elijah Molden,24.0,RCB-LCB,5-10,190,22.0,Washington,16.0,7.0,31,,,648
Larrell Murchison,91.0,DE,6-3,291,24.0,Louisburg JC; North Carolina State,11.0,5.0,31,,,649
Kyle Peko,95.0,DE-NT-DT,6-1,305,28.0,Cerritos JC; Oregon State,8.0,3.0,31,,,650
Adrian Peterson,8.0,RB,6-1,218,36.0,Oklahoma,3.0,2.0,31,,,651
MyCole Pruitt,85.0,TE,6-2,251,29.0,Southern Illinois,16.0,9.0,31,,,652
David Quessenberry,72.0,ROT,6-5,310,31.0,San Jose State,17.0,17.0,31,,,653
Dillon Radunz,75.0,LOT-ROG-ROT,6-6,298,23.0,North Dakota State,12.0,1.0,31,,,654
Caraun Reid,97.0,DT,6-2,300,29.0,Princeton,1.0,0.0,31,,,655
Josh Reynolds,18.0,WR,6-3,194,26.0,Tyler JC; Texas A&M,5.0,0.0,31,,,656
Monty Rice,56.0,RILB,6-1,235,22.0,Georgia,12.0,4.0,31,,,657
Derick Roberson,50.0,LOLB-ROLB,6-3,250,26.0,Texas; Sam Houston State,5.0,0.0,31,,,658
Chester Rogers,80.0,WR,6-1,183,27.0,Grambling State,16.0,2.0,31,,,659
Anthony Rush,95.0,NT,6-5,350,25.0,Northeast Mississippi CC; Alabama-Birmingham,2.0,0.0,31,,,660
Rodger Saffold,76.0,LOG,6-5,325,33.0,Indiana,15.0,15.0,31,,,661
Ty Sambrailo,70.0,LOT-ROT,6-5,315,29.0,Colorado State,4.0,1.0,31,,,662
Mekhi Sargent,38.0,RB,5-10,210,24.0,Iowa Western CC; Iowa,3.0,0.0,31,,,663
Jeffery Simmons,98.0,DT,6-4,300,24.0,Mississippi State,17.0,17.0,31,,,664
John Simon,59.0,ROLB,6-1,256,31.0,Ohio State,2.0,0.0,31,,,665
Buster Skrine,38.0,LCB,5-9,185,32.0,Tennessee-Chattanooga,6.0,3.0,31,,,666
Kevin Strong,97.0,DE,6-4,285,25.0,Texas-San Antonio,5.0,0.0,31,,,667
Geoff Swaim,87.0,TE,6-4,260,28.0,Butte CC; Texas,16.0,16.0,31,,,668
Ryan Tannehill,17.0,QB,6-4,217,33.0,Texas A&M,16.0,16.0,31,,,669
Teair Tart,93.0,NT-DE,6-3,290,24.0,ASA JC; Ellsworth CC; Florida International,11.0,10.0,31,,,670
